hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[11, 10]","[7, 11]",7,"[11, 10]","[7, 11]",pbj,308
2,"[7, 2]","[5, 8]",5,"[7, 2, 2]","[5, 8, 5]",ddd,302
3,"[3, 5]","[3, 4]",3,"[3, 5, 6]","[3, 4, 6, 9]",p,295
4,"[10, 3]","[9, 6]",9,"[10, 3, 6]","[9, 6, 6]",d,289
5,"[4, 7]","[3, 10]",3,"[4, 7, 7]","[3, 10, 10]",pdd,283
6,"[11, 11]","[8, 2]",8,"[[11, 4], [11, 1]]","[8, 2, 5, 7]","['p', 'p']",275
7,"[10, 2]","[2, 3]",2,"[10, 2, 9]","[2, 3, 8, 9]",p,268
8,"[3, 4]","[10, 2]",10,"[3, 4, 10]","[10, 2, 8]",d,262
9,"[6, 4]","[4, 10]",4,"[6, 4, 3]","[4, 10, 2, 4]",ddd,255
10,"[10, 8]","[10, 10]",10,"[10, 8]","[10, 10]",d,251
11,"[10, 9]","[8, 8]",8,"[10, 9]","[8, 8, 1]",p,246
12,"[5, 10]","[10, 10]",10,"[5, 10, 3]","[10, 10]",d,241
13,"[11, 10]","[9, 8]",9,"[11, 10]","[9, 8]",pbj,237
14,"[9, 11]","[10, 10]",10,"[9, 11]","[10, 10]",pu,233
15,"[4, 10]","[10, 10]",10,"[4, 10, 10]","[10, 10]",d,228
16,"[9, 8]","[10, 10]",10,"[9, 8]","[10, 10]",d,224
17,"[4, 8]","[7, 5]",7,"[4, 8, 1, 10]","[7, 5]",d,218
18,"[11, 7]","[7, 4]",7,"[11, 7]","[7, 4, 10]",d,213
19,"[5, 10]","[10, 11]",10,"[5, 10]","[10, 11]",d,209
20,"[9, 10]","[2, 7]",2,"[9, 10]","[2, 7, 10]",pu,204
21,"[10, 3]","[7, 10]",7,"[10, 3, 5]","[7, 10]",p,199
22,"[11, 10]","[9, 5]",9,"[11, 10]","[9, 5]",pbj,195
23,"[4, 8]","[3, 10]",3,"[4, 8, 10]","[3, 10]",d,190
24,"[9, 10]","[9, 7]",9,"[9, 10]","[9, 7, 7]",p,185
25,"[7, 5]","[10, 2]",10,"[7, 5, 8]","[10, 2, 4, 2]",p,178
26,"[10, 7]","[10, 3]",10,"[10, 7]","[10, 3, 3, 10]",p,172
27,"[6, 3]","[10, 6]",10,"[6, 3, 10]","[10, 6, 10]",p,166
28,"[7, 10]","[5, 6]",5,"[7, 10]","[5, 6, 7]",d,161
29,"[9, 10]","[10, 8]",10,"[9, 10]","[10, 8]",p,157
30,"[8, 10]","[6, 10]",6,"[8, 10]","[6, 10, 5]",d,152
31,"[6, 10]","[10, 5]",10,"[6, 10, 4]","[10, 5, 8]",p,146
32,"[2, 2]","[10, 3]",10,"[2, 2, 9, 1, 5]","[10, 3, 10]",p,138
33,"[10, 9]","[4, 7]",4,"[10, 9]","[4, 7, 2, 9]",p,132
