hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,16,hard,no split,1,10,21.0,20,1.0,307,5,"[10, 6, 5]","[10, 10]",-1,-0.2
2,12,hard,no split,1,2,13.0,18,-1.0,300,5,"[3, 9, 1]","[2, 3, 10, 3]",1,0.2
3,17,hard,no split,1,10,17.0,17,0.0,296,5,"[7, 10]","[10, 7]",-1,-0.2
4,18,hard,no split,1,2,18.0,20,-1.0,291,5,"[8, 10]","[2, 10, 8]",-2,-0.4
5,13,hard,no split,1,10,13.0,21,-1.0,287,5,"[3, 10]","[10, 11]",-4,-0.8
6,10,hard,no split,1,10,19.0,17,1.0,282,5,"[2, 8, 9]","[10, 7]",-4,-0.8
7,15,hard,no split,1,6,15.0,24,1.0,277,5,"[9, 6]","[6, 10, 8]",-3,-0.6
8,16,hard,no split,1,11,20.0,19,1.0,272,5,"[6, 10, 4]","[11, 8]",-3,-0.6
9,11,hard,no split,1,6,21.0,20,2.0,266,5,"[6, 5, 10]","[6, 10, 4]",-1,-0.2
10,12,hard,no split,1,5,12.0,25,1.0,261,5,"[10, 2]","[5, 10, 10]",-2,-0.4
11,16,hard,no split,1,3,16.0,20,-1.0,256,4,"[6, 10]","[3, 11, 6]",-1,-0.25
12,7,hard,no split,1,11,22.0,22,-1.0,250,4,"[5, 2, 8, 7]","[11, 11]",-1,-0.25
13,11,hard,no split,1,3,13.0,22,2.0,244,4,"[8, 3, 2]","[3, 9, 10]",1,0.25
14,12,hard,no split,1,4,12.0,17,-1.0,239,4,"[8, 4]","[4, 3, 10]",3,0.75
15,19,hard,no split,1,5,19.0,17,1.0,234,4,"[10, 9]","[5, 10, 2]",3,0.75
16,14,hard,no split,1,6,14.0,21,-1.0,229,4,"[4, 10]","[6, 7, 8]",4,1.0
17,14,hard,no split,1,10,24.0,12,-1.0,224,4,"[10, 4, 10]","[10, 2]",3,0.75
18,14,hard,no split,1,4,14.0,21,-1.0,218,4,"[4, 10]","[4, 6, 6, 5]",7,1.75
19,19,hard,no split,1,2,19.0,18,1.0,212,4,"[9, 10]","[2, 11, 3, 2]",8,2.0
20,18,hard,split,2,4,15.5,22,2.0,205,3,"[[9, 7], [9, 6]]","[4, 10, 8]",9,3.0
21,10,hard,no split,1,5,13.0,19,-2.0,198,3,"[6, 4, 3]","[5, 5, 5, 4]",16,5.333333333333333
22,21,soft,no split,1,10,21.0,19,1.5,194,3,"[10, 11]","[10, 9]",13,4.333333333333333
23,17,hard,no split,1,10,17.0,17,0.0,190,3,"[8, 9]","[10, 7]",12,4.0
24,20,hard,no split,1,5,20.0,18,1.0,184,3,"[10, 10]","[5, 10, 1, 2]",10,3.3333333333333335
25,10,hard,no split,1,7,20.0,18,2.0,179,3,"[6, 4, 10]","[7, 11]",10,3.3333333333333335
26,10,hard,no split,1,9,20.0,19,2.0,174,3,"[5, 5, 10]","[9, 10]",10,3.3333333333333335
27,19,hard,no split,1,11,19.0,18,1.0,170,3,"[10, 9]","[11, 7]",8,2.6666666666666665
28,5,hard,no split,1,10,19.0,20,-1.0,164,3,"[2, 3, 3, 11]","[10, 10]",8,2.6666666666666665
29,20,hard,no split,1,3,20.0,21,-1.0,159,3,"[10, 10]","[3, 8, 10]",6,2.0
30,17,soft,no split,1,8,20.0,19,1.0,153,2,"[6, 1, 8, 5]","[8, 11]",6,3.0
31,21,soft,no split,1,7,21.0,11,1.5,149,2,"[11, 10]","[7, 4]",5,2.5
32,14,hard,no split,1,10,23.0,19,-1.0,144,2,"[4, 10, 9]","[10, 9]",4,2.0
33,14,hard,no split,1,9,17.0,18,-1.0,139,2,"[5, 9, 3]","[9, 9]",6,3.0
34,13,soft,no split,1,10,21.0,26,1.0,133,2,"[11, 2, 8]","[10, 6, 10]",5,2.5
35,10,hard,no split,1,10,20.0,18,1.0,127,2,"[5, 5, 10]","[10, 2, 6]",7,3.5
36,20,hard,no split,1,11,20.0,19,1.0,123,2,"[10, 10]","[11, 8]",4,2.0
37,10,hard,no split,1,2,17.0,17,0.0,117,2,"[4, 6, 7]","[2, 5, 10]",7,3.5
38,7,hard,no split,1,10,18.0,17,1.0,111,2,"[4, 3, 1, 10]","[10, 7]",6,3.0
39,20,hard,no split,1,7,20.0,21,-1.0,106,2,"[10, 10]","[7, 4, 10]",4,2.0
40,17,hard,no split,1,2,17.0,21,-1.0,101,1,"[7, 10]","[2, 9, 10]",3,3.0
41,20,hard,no split,1,3,20.0,17,1.0,96,1,"[10, 10]","[3, 3, 11]",2,2.0
42,7,hard,no split,1,9,17.0,21,-1.0,90,1,"[5, 2, 10]","[9, 2, 10]",3,3.0
43,6,hard,no split,1,8,21.0,17,1.0,82,1,"[3, 3, 2, 3, 10]","[8, 8, 1]",5,5.0
44,16,hard,no split,1,2,16.0,22,1.0,77,1,"[10, 6]","[2, 10, 10]",4,4.0
45,18,hard,no split,1,4,18.0,25,1.0,71,1,"[10, 8]","[4, 1, 10, 10]",1,1.0
46,13,hard,no split,1,7,23.0,17,-1.0,66,1,"[10, 3, 10]","[7, 10]",-1,-1.0
47,11,hard,no split,1,10,13.0,21,-2.0,60,1,"[7, 4, 2]","[10, 4, 7]",1,1.0
48,16,hard,no split,1,3,16.0,25,1.0,54,1,"[10, 6]","[3, 7, 5, 10]",2,2.0
49,18,hard,split,2,2,16.5,19,-1.0,47,0,"[[9, 10], [9, 5]]","[2, 9, 8]",3,3.0
50,12,hard,no split,1,10,19.0,20,-1.0,42,0,"[10, 2, 7]","[10, 10]",1,1.0
51,21,soft,no split,1,10,21.0,14,1.5,38,0,"[11, 10]","[10, 4]",-1,-1.0
52,15,hard,no split,1,7,23.0,17,-1.0,33,0,"[9, 6, 8]","[7, 10]",-1,-1.0
53,15,hard,no split,1,4,15.0,22,1.0,28,0,"[10, 5]","[4, 8, 10]",-1,-1.0
54,12,hard,no split,1,4,12.0,24,1.0,23,0,"[5, 7]","[4, 10, 10]",-1,-1.0
55,13,hard,no split,1,5,13.0,23,1.0,307,5,"[10, 3]","[5, 8, 10]",0,0.0
56,9,hard,no split,1,7,21.0,17,1.0,301,5,"[6, 3, 2, 10]","[7, 10]",1,0.2
57,17,soft,no split,1,9,17.0,17,0.0,294,5,"[1, 6, 9, 1]","[9, 5, 3]",2,0.4
58,12,hard,no split,1,10,19.0,18,1.0,288,5,"[10, 2, 7]","[10, 2, 6]",3,0.6
59,14,hard,no split,1,10,23.0,20,-1.0,283,5,"[8, 6, 9]","[10, 10]",2,0.4
60,19,hard,no split,1,10,19.0,21,-1.0,279,5,"[9, 10]","[10, 11]",-1,-0.2
61,19,soft,no split,1,10,19.0,20,-1.0,275,5,"[8, 11]","[10, 10]",-4,-0.8
62,18,hard,split,2,6,18.0,22,2.0,267,5,"[[9, 10], [9, 8]]","[6, 7, 1, 8]",-5,-1.0
63,19,hard,no split,1,10,19.0,18,1.0,262,5,"[10, 9]","[10, 6, 2]",-5,-1.0
64,13,hard,no split,1,9,20.0,19,1.0,257,4,"[3, 10, 7]","[9, 10]",-6,-1.5
65,16,hard,no split,1,10,26.0,20,-1.0,252,4,"[6, 10, 10]","[10, 10]",-9,-2.25
66,14,hard,no split,1,11,24.0,19,-1.0,247,4,"[7, 7, 10]","[11, 8]",-11,-2.75
67,16,hard,no split,1,8,20.0,19,1.0,242,4,"[6, 10, 4]","[8, 11]",-11,-2.75
68,15,soft,no split,1,10,22.0,20,-1.0,236,4,"[4, 1, 10, 7]","[10, 10]",-14,-3.5
69,22,soft,split,2,4,18.5,22,2.0,229,4,"[[11, 10], [11, 5]]","[4, 8, 10]",-16,-4.0
70,12,hard,no split,1,4,12.0,18,-1.0,224,4,"[7, 5]","[4, 10, 4]",-14,-3.5
71,13,hard,no split,1,8,22.0,10,-1.0,219,4,"[10, 3, 9]","[8, 2]",-13,-3.25
72,15,hard,no split,1,10,25.0,20,-1.0,214,4,"[5, 10, 10]","[10, 10]",-16,-4.0
73,13,hard,no split,1,11,21.0,20,1.0,209,4,"[3, 10, 8]","[11, 9]",-17,-4.25
74,6,hard,split,2,2,16.0,26,2.0,195,3,"[[3, 4, 2, 2, 1, 4], [3, 2, 5, 6]]","[2, 4, 10, 10]",-9,-3.0
75,17,hard,no split,1,10,17.0,20,-1.0,191,3,"[7, 10]","[10, 10]",-12,-4.0
76,15,hard,no split,1,8,25.0,15,-1.0,186,3,"[5, 10, 10]","[8, 7]",-13,-4.333333333333333
77,7,hard,no split,1,11,17.0,20,-1.0,179,3,"[3, 4, 10]","[1, 5, 9, 5]",-11,-3.6666666666666665
78,12,hard,no split,1,2,14.0,19,-1.0,173,3,"[7, 5, 2]","[2, 7, 10]",-9,-3.0
79,5,hard,no split,1,10,25.0,19,-1.0,167,3,"[3, 2, 10, 10]","[10, 9]",-10,-3.3333333333333335
80,13,soft,no split,1,8,21.0,17,1.0,161,3,"[2, 11, 8]","[8, 2, 7]",-9,-3.0
81,7,hard,no split,1,3,14.0,17,-1.0,154,2,"[5, 2, 3, 4]","[3, 10, 4]",-4,-2.0
82,12,hard,no split,1,10,19.0,18,1.0,147,2,"[10, 2, 1, 6]","[10, 3, 5]",-3,-1.5
83,11,hard,no split,1,3,17.0,20,-2.0,141,2,"[4, 7, 6]","[3, 10, 7]",-1,-0.5
84,20,hard,no split,1,10,20.0,26,1.0,135,2,"[10, 10]","[10, 5, 1, 10]",-5,-2.5
85,11,hard,no split,1,4,14.0,22,2.0,129,2,"[9, 2, 3]","[4, 10, 8]",-3,-1.5
86,20,hard,no split,1,5,20.0,20,0.0,123,2,"[10, 10]","[5, 8, 3, 4]",-2,-1.0
87,6,hard,no split,1,4,14.0,21,-1.0,117,2,"[2, 4, 8]","[4, 9, 8]",1,0.5
88,6,hard,split,2,2,15.0,19,-2.0,108,2,"[[3, 10], [3, 4, 10]]","[2, 2, 5, 10]",4,2.0
89,20,hard,no split,1,10,20.0,20,0.0,104,2,"[10, 10]","[10, 10]",0,0.0
90,14,hard,no split,1,7,23.0,18,-1.0,99,1,"[9, 5, 9]","[7, 11]",0,0.0
91,15,hard,no split,1,4,15.0,24,1.0,94,1,"[6, 9]","[4, 10, 10]",0,0.0
92,19,hard,no split,1,8,19.0,17,1.0,89,1,"[9, 10]","[8, 5, 4]",1,1.0
93,12,hard,no split,1,10,12.0,21,-1.0,85,1,"[2, 10]","[10, 11]",-1,-1.0
94,16,hard,no split,1,5,16.0,23,1.0,80,1,"[10, 6]","[5, 8, 10]",-1,-1.0
95,14,hard,no split,1,10,25.0,16,-1.0,74,1,"[10, 4, 1, 10]","[10, 6]",-3,-3.0
96,14,soft,no split,1,5,21.0,18,2.0,68,1,"[3, 11, 7]","[5, 3, 10]",-2,-2.0
97,21,soft,no split,1,7,21.0,13,1.5,64,1,"[11, 10]","[7, 6]",-3,-3.0
98,17,hard,no split,1,10,17.0,19,-1.0,59,1,"[10, 7]","[10, 3, 6]",-3,-3.0
99,10,hard,no split,1,8,19.0,24,2.0,53,1,"[4, 6, 9]","[8, 7, 9]",-1,-1.0
100,14,hard,no split,1,8,24.0,11,-1.0,48,0,"[4, 10, 10]","[8, 3]",-1,-1.0
