hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,21,soft,no split,1,7,21.0,18,1.5,308,5,"[11, 10]","[7, 11]",-3,-0.6
2,9,hard,no split,1,5,11.0,18,-2.0,302,5,"[7, 2, 2]","[5, 8, 5]",1,0.2
3,8,hard,no split,1,3,14.0,22,1.0,295,5,"[3, 5, 6]","[3, 4, 6, 9]",7,1.4
4,13,hard,no split,1,9,19.0,21,-1.0,289,5,"[10, 3, 6]","[9, 6, 6]",10,2.0
5,11,hard,no split,1,3,18.0,23,2.0,283,5,"[4, 7, 7]","[3, 10, 10]",10,2.0
6,22,soft,split,2,8,13.5,22,2.0,275,5,"[[11, 4], [11, 1]]","[8, 2, 5, 7]",10,2.0
7,12,hard,no split,1,2,21.0,22,1.0,268,5,"[10, 2, 9]","[2, 3, 8, 9]",12,2.4
8,7,hard,no split,1,10,17.0,20,-1.0,262,5,"[3, 4, 10]","[10, 2, 8]",13,2.6
9,10,hard,no split,1,4,13.0,20,-2.0,255,4,"[6, 4, 3]","[4, 10, 2, 4]",18,4.5
10,18,hard,no split,1,10,18.0,20,-1.0,251,4,"[10, 8]","[10, 10]",15,3.75
11,19,hard,no split,1,8,19.0,17,1.0,246,4,"[10, 9]","[8, 8, 1]",13,3.25
12,15,hard,no split,1,10,18.0,20,-1.0,241,4,"[5, 10, 3]","[10, 10]",12,3.0
13,21,soft,no split,1,9,21.0,17,1.5,237,4,"[11, 10]","[9, 8]",10,2.5
14,20,soft,no split,1,10,20.0,20,0.0,233,4,"[9, 11]","[10, 10]",7,1.75
15,14,hard,no split,1,10,24.0,20,-1.0,228,4,"[4, 10, 10]","[10, 10]",4,1.0
16,17,hard,no split,1,10,17.0,20,-1.0,224,4,"[9, 8]","[10, 10]",2,0.5
17,12,hard,no split,1,7,23.0,12,-1.0,218,4,"[4, 8, 1, 10]","[7, 5]",2,0.5
18,18,soft,no split,1,7,18.0,21,-1.0,213,4,"[11, 7]","[7, 4, 10]",1,0.25
19,15,hard,no split,1,10,15.0,21,-1.0,209,4,"[5, 10]","[10, 11]",-1,-0.25
20,19,hard,no split,1,2,19.0,19,0.0,204,3,"[9, 10]","[2, 7, 10]",-2,-0.6666666666666666
21,13,hard,no split,1,7,18.0,17,1.0,199,3,"[10, 3, 5]","[7, 10]",-2,-0.6666666666666666
22,21,soft,no split,1,9,21.0,14,1.5,195,3,"[11, 10]","[9, 5]",-3,-1.0
23,12,hard,no split,1,3,22.0,13,-1.0,190,3,"[4, 8, 10]","[3, 10]",-3,-1.0
24,19,hard,no split,1,9,19.0,23,1.0,185,3,"[9, 10]","[9, 7, 7]",-4,-1.3333333333333333
25,12,hard,no split,1,10,20.0,18,1.0,178,3,"[7, 5, 8]","[10, 2, 4, 2]",-1,-0.3333333333333333
26,17,hard,no split,1,10,17.0,26,1.0,172,3,"[10, 7]","[10, 3, 3, 10]",-2,-0.6666666666666666
27,9,hard,no split,1,10,19.0,26,1.0,166,3,"[6, 3, 10]","[10, 6, 10]",-2,-0.6666666666666666
28,17,hard,no split,1,5,17.0,18,-1.0,161,3,"[7, 10]","[5, 6, 7]",-1,-0.3333333333333333
29,19,hard,no split,1,10,19.0,18,1.0,157,3,"[9, 10]","[10, 8]",-3,-1.0
30,18,hard,no split,1,6,18.0,21,-1.0,152,2,"[8, 10]","[6, 10, 5]",-3,-1.5
31,16,hard,no split,1,10,20.0,23,1.0,146,2,"[6, 10, 4]","[10, 5, 8]",-2,-1.0
32,4,hard,no split,1,10,19.0,23,1.0,138,2,"[2, 2, 9, 1, 5]","[10, 3, 10]",-1,-0.5
33,19,hard,no split,1,4,19.0,22,1.0,132,2,"[10, 9]","[4, 7, 2, 9]",0,0.0
34,14,hard,no split,1,10,23.0,20,-1.0,127,2,"[5, 9, 9]","[10, 10]",-1,-0.5
35,12,hard,no split,1,6,12.0,20,-1.0,118,2,"[2, 10]","[6, 3, 2, 1, 2, 1, 5]",2,1.0
36,16,hard,no split,1,10,26.0,20,-1.0,113,2,"[6, 10, 10]","[10, 10]",-1,-0.5
