hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,10,hard,no split,1,4,18.0,24,2.0,306,5,"[2, 8, 8]","[4, 10, 10]",0,0.0
2,16,hard,no split,1,3,16.0,22,1.0,299,5,"[10, 6]","[3, 4, 7, 1, 7]",1,0.2
3,13,hard,no split,1,10,22.0,15,-1.0,294,5,"[3, 10, 9]","[10, 5]",1,0.2
4,15,hard,no split,1,5,15.0,26,1.0,288,5,"[5, 10]","[5, 7, 4, 10]",2,0.4
5,17,hard,no split,1,10,17.0,20,-1.0,284,5,"[10, 7]","[10, 10]",-1,-0.2
6,22,soft,split,2,8,15.0,25,2.0,276,5,"[[11, 4], [11, 4]]","[8, 5, 2, 10]",0,0.0
7,15,hard,no split,1,11,18.0,20,-1.0,269,5,"[9, 6, 3]","[1, 4, 10, 5]",2,0.4
8,12,hard,no split,1,4,12.0,22,1.0,264,5,"[2, 10]","[4, 9, 9]",3,0.6
9,8,hard,no split,1,5,16.0,18,-1.0,258,4,"[2, 6, 8]","[5, 10, 3]",6,1.5
10,10,hard,no split,1,5,21.0,18,2.0,252,4,"[7, 3, 11]","[5, 3, 10]",7,1.75
11,13,hard,no split,1,8,18.0,19,-1.0,246,4,"[10, 3, 1, 4]","[8, 11]",6,1.5
12,18,hard,no split,1,11,18.0,17,1.0,240,4,"[8, 10]","[1, 5, 10, 1]",3,0.75
13,17,hard,no split,1,10,17.0,20,-1.0,236,4,"[9, 8]","[10, 10]",1,0.25
14,11,hard,no split,1,6,15.0,20,-2.0,230,4,"[6, 5, 4]","[6, 5, 9]",6,1.5
15,20,hard,no split,1,10,20.0,20,0.0,226,4,"[10, 10]","[10, 10]",2,0.5
16,18,hard,no split,1,6,18.0,26,1.0,221,4,"[10, 8]","[6, 10, 10]",0,0.0
17,13,hard,no split,1,10,21.0,20,1.0,216,4,"[3, 10, 8]","[10, 10]",-2,-0.5
18,11,hard,no split,1,3,21.0,23,2.0,208,4,"[2, 9, 10]","[3, 2, 6, 2, 10]",1,0.25
19,12,hard,no split,1,10,24.0,20,-1.0,202,3,"[10, 2, 2, 10]","[10, 10]",-1,-0.3333333333333333
20,18,soft,no split,1,6,27.0,16,-1.0,197,3,"[11, 7, 9]","[6, 10]",-2,-0.6666666666666666
