hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,14,soft,no split,1,9,23,17,-1.0,306,5,"[1, 3, 10, 9]","[9, 8]",-1,-0.2
2,9,hard,no split,1,10,24,20,-1.0,300,5,"[7, 2, 5, 10]","[10, 10]",-2,-0.4
3,14,hard,no split,1,2,14,23,1.0,293,5,"[4, 10]","[2, 4, 7, 1, 9]",-1,-0.2
4,13,hard,no split,1,11,18,17,1.0,286,5,"[3, 10, 1, 4]","[1, 11, 5]",-2,-0.4
5,6,hard,no split,1,10,21,18,1.0,280,5,"[3, 3, 4, 11]","[10, 8]",-1,-0.2
6,21,soft,no split,1,9,21,19,1.5,276,5,"[11, 10]","[9, 10]",-4,-0.8
7,11,hard,no split,1,11,11,21,-1.0,272,5,"[5, 6]","[11, 10]",-4,-0.8
8,13,hard,no split,1,9,22,11,-1.0,267,5,"[10, 3, 9]","[9, 2]",-3,-0.6
9,12,hard,no split,1,5,12,19,-1.0,262,5,"[10, 2]","[5, 8, 6]",-1,-0.2
10,8,hard,no split,1,10,18,25,1.0,256,4,"[3, 5, 10]","[10, 5, 10]",-1,-0.25
11,16,hard,no split,1,7,24,9,-1.0,251,4,"[6, 10, 8]","[7, 2]",0,0.0
12,15,hard,no split,1,10,19,23,1.0,245,4,"[10, 5, 4]","[10, 3, 10]",0,0.0
13,8,hard,no split,1,11,19,19,0.0,237,4,"[3, 5, 8, 3]","[1, 11, 2, 5]",3,0.75
14,18,hard,no split,1,7,18,17,1.0,233,4,"[8, 10]","[7, 10]",1,0.25
15,19,hard,no split,1,10,19,17,1.0,229,4,"[10, 9]","[10, 7]",-1,-0.25
16,18,hard,no split,1,5,18,19,-1.0,224,4,"[8, 10]","[5, 10, 4]",-1,-0.25
17,14,hard,no split,1,10,24,13,-1.0,219,4,"[7, 7, 10]","[10, 3]",-2,-0.5
18,16,hard,split,2,9,19,19,1.0,212,4,"[[8, 2, 10], [8, 10]]","[9, 10]",-4,-1.0
19,15,hard,no split,1,6,15,21,-1.0,207,3,"[10, 5]","[6, 10, 5]",-3,-1.0
20,7,hard,no split,1,2,17,24,1.0,200,3,"[2, 5, 10]","[2, 10, 3, 9]",-1,-0.3333333333333333
21,15,hard,no split,1,10,21,17,1.0,194,3,"[6, 9, 6]","[10, 3, 4]",2,0.6666666666666666
22,13,hard,no split,1,3,13,26,1.0,188,3,"[3, 10]","[3, 5, 8, 10]",3,1.0
23,12,hard,no split,1,4,12,20,-1.0,182,3,"[7, 5]","[4, 3, 6, 7]",7,2.3333333333333335
24,20,hard,no split,1,10,20,18,1.0,178,3,"[10, 10]","[10, 8]",4,1.3333333333333333
25,19,hard,no split,1,10,19,24,1.0,173,3,"[10, 9]","[10, 4, 10]",2,0.6666666666666666
26,14,hard,no split,1,9,21,19,1.0,168,3,"[4, 10, 7]","[9, 10]",1,0.3333333333333333
27,16,hard,no split,1,7,19,17,1.0,162,3,"[10, 6, 3]","[7, 6, 4]",4,1.3333333333333333
28,16,hard,no split,1,2,16,20,-1.0,156,3,"[10, 6]","[2, 3, 7, 8]",6,2.0
29,6,hard,no split,1,8,21,19,1.0,150,2,"[2, 4, 10, 5]","[8, 11]",7,3.5
30,17,hard,no split,1,5,17,23,1.0,145,2,"[7, 10]","[5, 10, 8]",6,3.0
31,15,hard,no split,1,10,23,12,-1.0,140,2,"[5, 10, 8]","[10, 2]",6,3.0
32,5,hard,no split,1,7,17,17,0.0,133,2,"[3, 2, 10, 2]","[7, 9, 1]",7,3.5
33,10,hard,no split,1,11,24,22,-1.0,127,2,"[2, 8, 6, 8]","[11, 11]",7,3.5
34,13,hard,no split,1,8,23,18,-1.0,122,2,"[7, 6, 10]","[8, 10]",6,3.0
35,18,hard,no split,1,10,18,21,-1.0,118,2,"[10, 8]","[10, 11]",3,1.5
36,21,soft,no split,1,3,21,11,1.5,114,2,"[10, 11]","[3, 8]",2,1.0
37,13,hard,no split,1,6,13,17,-1.0,110,2,"[3, 10]","[6, 11]",2,1.0
38,16,hard,no split,1,7,23,11,-1.0,105,2,"[6, 10, 7]","[7, 4]",3,1.5
39,11,hard,no split,1,10,21,19,2.0,99,1,"[2, 9, 10]","[10, 3, 6]",4,4.0
40,10,hard,no split,1,10,21,20,1.0,93,1,"[4, 6, 5, 6]","[10, 10]",6,6.0
41,19,hard,no split,1,9,19,17,1.0,88,1,"[9, 10]","[9, 3, 5]",7,7.0
42,10,hard,no split,1,10,19,20,-1.0,83,1,"[6, 4, 9]","[10, 10]",7,7.0
43,17,hard,no split,1,6,17,20,-1.0,78,1,"[7, 10]","[6, 4, 10]",7,7.0
44,20,hard,no split,1,9,20,19,1.0,74,1,"[10, 10]","[9, 10]",4,4.0
45,14,hard,no split,1,2,14,22,1.0,69,1,"[10, 4]","[2, 10, 10]",3,3.0
