hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[10, 6]","[10, 10]",10,"[10, 6, 5]","[10, 10]",p,307
2,"[3, 9]","[2, 3]",2,"[3, 9, 1]","[2, 3, 10, 3]",d,300
3,"[7, 10]","[10, 7]",10,"[7, 10]","[10, 7]",pu,296
4,"[8, 10]","[2, 10]",2,"[8, 10]","[2, 10, 8]",d,291
5,"[3, 10]","[10, 11]",10,"[3, 10]","[10, 11]",d,287
6,"[2, 8]","[10, 7]",10,"[2, 8, 9]","[10, 7]",p,282
7,"[9, 6]","[6, 10]",6,"[9, 6]","[6, 10, 8]",p,277
8,"[6, 10]","[11, 8]",11,"[6, 10, 4]","[11, 8]",p,272
9,"[6, 5]","[6, 10]",6,"[6, 5, 10]","[6, 10, 4]",pdd,266
10,"[10, 2]","[5, 10]",5,"[10, 2]","[5, 10, 10]",p,261
11,"[6, 10]","[3, 11]",3,"[6, 10]","[3, 11, 6]",d,256
12,"[5, 2]","[11, 11]",11,"[5, 2, 8, 7]","[11, 11]",d,250
13,"[8, 3]","[3, 9]",3,"[8, 3, 2]","[3, 9, 10]",pdd,244
14,"[8, 4]","[4, 3]",4,"[8, 4]","[4, 3, 10]",d,239
15,"[10, 9]","[5, 10]",5,"[10, 9]","[5, 10, 2]",p,234
16,"[4, 10]","[6, 7]",6,"[4, 10]","[6, 7, 8]",d,229
17,"[10, 4]","[10, 2]",10,"[10, 4, 10]","[10, 2]",d,224
18,"[4, 10]","[4, 6]",4,"[4, 10]","[4, 6, 6, 5]",d,218
19,"[9, 10]","[2, 11]",2,"[9, 10]","[2, 11, 3, 2]",p,212
20,"[9, 9]","[4, 10]",4,"[[9, 7], [9, 6]]","[4, 10, 8]","['p', 'p']",205
21,"[6, 4]","[5, 5]",5,"[6, 4, 3]","[5, 5, 5, 4]",ddd,198
22,"[10, 11]","[10, 9]",10,"[10, 11]","[10, 9]",pbj,194
23,"[8, 9]","[10, 7]",10,"[8, 9]","[10, 7]",pu,190
24,"[10, 10]","[5, 10]",5,"[10, 10]","[5, 10, 1, 2]",p,184
25,"[6, 4]","[7, 11]",7,"[6, 4, 10]","[7, 11]",pdd,179
26,"[5, 5]","[9, 10]",9,"[5, 5, 10]","[9, 10]",pdd,174
27,"[10, 9]","[11, 7]",11,"[10, 9]","[11, 7]",p,170
28,"[2, 3]","[10, 10]",10,"[2, 3, 3, 11]","[10, 10]",d,164
29,"[10, 10]","[3, 8]",3,"[10, 10]","[3, 8, 10]",d,159
30,"[6, 11]","[8, 11]",8,"[6, 1, 8, 5]","[8, 11]",p,153
31,"[11, 10]","[7, 4]",7,"[11, 10]","[7, 4]",pbj,149
32,"[4, 10]","[10, 9]",10,"[4, 10, 9]","[10, 9]",d,144
33,"[5, 9]","[9, 9]",9,"[5, 9, 3]","[9, 9]",d,139
34,"[11, 2]","[10, 6]",10,"[11, 2, 8]","[10, 6, 10]",p,133
35,"[5, 5]","[10, 2]",10,"[5, 5, 10]","[10, 2, 6]",p,127
36,"[10, 10]","[11, 8]",11,"[10, 10]","[11, 8]",p,123
37,"[4, 6]","[2, 5]",2,"[4, 6, 7]","[2, 5, 10]",pu,117
38,"[4, 3]","[10, 7]",10,"[4, 3, 1, 10]","[10, 7]",p,111
39,"[10, 10]","[7, 4]",7,"[10, 10]","[7, 4, 10]",d,106
40,"[7, 10]","[2, 9]",2,"[7, 10]","[2, 9, 10]",d,101
41,"[10, 10]","[3, 3]",3,"[10, 10]","[3, 3, 11]",p,96
42,"[5, 2]","[9, 2]",9,"[5, 2, 10]","[9, 2, 10]",d,90
43,"[3, 3]","[8, 8]",8,"[3, 3, 2, 3, 10]","[8, 8, 1]",p,82
44,"[10, 6]","[2, 10]",2,"[10, 6]","[2, 10, 10]",p,77
45,"[10, 8]","[4, 11]",4,"[10, 8]","[4, 1, 10, 10]",p,71
46,"[10, 3]","[7, 10]",7,"[10, 3, 10]","[7, 10]",d,66
47,"[7, 4]","[10, 4]",10,"[7, 4, 2]","[10, 4, 7]",ddd,60
48,"[10, 6]","[3, 7]",3,"[10, 6]","[3, 7, 5, 10]",p,54
49,"[9, 9]","[2, 9]",2,"[[9, 10], [9, 5]]","[2, 9, 8]","['pu', 'd']",47
50,"[10, 2]","[10, 10]",10,"[10, 2, 7]","[10, 10]",d,42
51,"[11, 10]","[10, 4]",10,"[11, 10]","[10, 4]",pbj,38
52,"[9, 6]","[7, 10]",7,"[9, 6, 8]","[7, 10]",d,33
53,"[10, 5]","[4, 8]",4,"[10, 5]","[4, 8, 10]",p,28
54,"[5, 7]","[4, 10]",4,"[5, 7]","[4, 10, 10]",p,23
55,"[10, 3]","[5, 8]",5,"[10, 3]","[5, 8, 10]",p,307
56,"[6, 3]","[7, 10]",7,"[6, 3, 2, 10]","[7, 10]",p,301
57,"[11, 6]","[9, 5]",9,"[1, 6, 9, 1]","[9, 5, 3]",pu,294
58,"[10, 2]","[10, 2]",10,"[10, 2, 7]","[10, 2, 6]",p,288
59,"[8, 6]","[10, 10]",10,"[8, 6, 9]","[10, 10]",d,283
60,"[9, 10]","[10, 11]",10,"[9, 10]","[10, 11]",d,279
61,"[8, 11]","[10, 10]",10,"[8, 11]","[10, 10]",d,275
62,"[9, 9]","[6, 7]",6,"[[9, 10], [9, 8]]","[6, 7, 1, 8]","['p', 'p']",267
63,"[10, 9]","[10, 6]",10,"[10, 9]","[10, 6, 2]",p,262
64,"[3, 10]","[9, 10]",9,"[3, 10, 7]","[9, 10]",p,257
65,"[6, 10]","[10, 10]",10,"[6, 10, 10]","[10, 10]",d,252
66,"[7, 7]","[11, 8]",11,"[7, 7, 10]","[11, 8]",d,247
67,"[6, 10]","[8, 11]",8,"[6, 10, 4]","[8, 11]",p,242
68,"[4, 11]","[10, 10]",10,"[4, 1, 10, 7]","[10, 10]",d,236
69,"[11, 11]","[4, 8]",4,"[[11, 10], [11, 5]]","[4, 8, 10]","['p', 'p']",229
70,"[7, 5]","[4, 10]",4,"[7, 5]","[4, 10, 4]",d,224
71,"[10, 3]","[8, 2]",8,"[10, 3, 9]","[8, 2]",d,219
72,"[5, 10]","[10, 10]",10,"[5, 10, 10]","[10, 10]",d,214
73,"[3, 10]","[11, 9]",11,"[3, 10, 8]","[11, 9]",p,209
74,"[3, 3]","[2, 4]",2,"[[3, 4, 2, 2, 1, 4], [3, 2, 5, 6]]","[2, 4, 10, 10]","['p', 'p']",195
75,"[7, 10]","[10, 10]",10,"[7, 10]","[10, 10]",d,191
76,"[5, 10]","[8, 7]",8,"[5, 10, 10]","[8, 7]",d,186
77,"[3, 4]","[11, 5]",11,"[3, 4, 10]","[1, 5, 9, 5]",d,179
78,"[7, 5]","[2, 7]",2,"[7, 5, 2]","[2, 7, 10]",d,173
79,"[3, 2]","[10, 9]",10,"[3, 2, 10, 10]","[10, 9]",d,167
80,"[2, 11]","[8, 2]",8,"[2, 11, 8]","[8, 2, 7]",p,161
81,"[5, 2]","[3, 10]",3,"[5, 2, 3, 4]","[3, 10, 4]",d,154
82,"[10, 2]","[10, 3]",10,"[10, 2, 1, 6]","[10, 3, 5]",p,147
83,"[4, 7]","[3, 10]",3,"[4, 7, 6]","[3, 10, 7]",ddd,141
84,"[10, 10]","[10, 5]",10,"[10, 10]","[10, 5, 1, 10]",p,135
85,"[9, 2]","[4, 10]",4,"[9, 2, 3]","[4, 10, 8]",pdd,129
86,"[10, 10]","[5, 8]",5,"[10, 10]","[5, 8, 3, 4]",pu,123
87,"[2, 4]","[4, 9]",4,"[2, 4, 8]","[4, 9, 8]",d,117
88,"[3, 3]","[2, 2]",2,"[[3, 10], [3, 4, 10]]","[2, 2, 5, 10]","['d', 'd']",108
89,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,104
90,"[9, 5]","[7, 11]",7,"[9, 5, 9]","[7, 11]",d,99
91,"[6, 9]","[4, 10]",4,"[6, 9]","[4, 10, 10]",p,94
92,"[9, 10]","[8, 5]",8,"[9, 10]","[8, 5, 4]",p,89
93,"[2, 10]","[10, 11]",10,"[2, 10]","[10, 11]",d,85
94,"[10, 6]","[5, 8]",5,"[10, 6]","[5, 8, 10]",p,80
95,"[10, 4]","[10, 6]",10,"[10, 4, 1, 10]","[10, 6]",d,74
96,"[3, 11]","[5, 3]",5,"[3, 11, 7]","[5, 3, 10]",pdd,68
97,"[11, 10]","[7, 6]",7,"[11, 10]","[7, 6]",pbj,64
98,"[10, 7]","[10, 3]",10,"[10, 7]","[10, 3, 6]",d,59
99,"[4, 6]","[8, 7]",8,"[4, 6, 9]","[8, 7, 9]",pdd,53
100,"[4, 10]","[8, 3]",8,"[4, 10, 10]","[8, 3]",d,48
