hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[6, 3]","[10, 10]",10,"[6, 3, 9]","[10, 10]",d,307
2,"[5, 10]","[2, 11]",2,"[5, 10]","[2, 1, 9, 10]",p,301
3,"[10, 5]","[10, 11]",10,"[10, 5]","[10, 11]",d,297
4,"[10, 6]","[3, 6]",3,"[10, 6]","[3, 6, 10]",d,292
5,"[11, 10]","[2, 8]",2,"[11, 10]","[2, 8]",pbj,288
6,"[4, 2]","[4, 4]",4,"[4, 2, 9]","[4, 4, 2, 10]",d,281
7,"[10, 5]","[10, 10]",10,"[10, 5, 3]","[10, 10]",d,276
8,"[11, 8]","[7, 9]",7,"[11, 8]","[7, 9, 10]",p,271
9,"[8, 3]","[10, 8]",10,"[8, 3, 9]","[10, 8]",pdd,266
10,"[8, 8]","[2, 8]",2,"[[8, 9], [8, 11]]","[2, 8, 6, 5]","['d', 'd']",258
11,"[4, 9]","[5, 10]",5,"[4, 9]","[5, 10, 3]",d,253
12,"[6, 3]","[6, 10]",6,"[6, 3, 10]","[6, 10, 7]",pdd,247
13,"[4, 10]","[10, 11]",10,"[4, 10]","[10, 11]",d,243
14,"[9, 10]","[9, 10]",9,"[9, 10]","[9, 10]",pu,239
15,"[2, 3]","[10, 3]",10,"[2, 3, 7, 10]","[10, 3]",d,233
16,"[11, 8]","[3, 11]",3,"[11, 8]","[3, 1, 10, 2, 1]",p,226
17,"[11, 9]","[7, 6]",7,"[11, 9]","[7, 6, 10]",p,221
18,"[3, 5]","[6, 4]",6,"[3, 5, 5]","[6, 4, 8]",d,215
19,"[10, 5]","[2, 6]",2,"[10, 5]","[2, 6, 6, 10]",p,209
20,"[11, 10]","[10, 4]",10,"[11, 10]","[10, 4]",pbj,205
21,"[10, 9]","[8, 9]",8,"[10, 9]","[8, 9]",p,201
22,"[3, 7]","[10, 7]",10,"[3, 7, 9]","[10, 7]",p,196
23,"[9, 8]","[10, 4]",10,"[9, 8]","[10, 4, 6]",d,191
24,"[8, 2]","[5, 10]",5,"[8, 2, 5]","[5, 10, 6]",ddd,185
25,"[3, 11]","[10, 10]",10,"[3, 11, 7]","[10, 10]",p,180
26,"[3, 8]","[11, 3]",11,"[3, 8, 8]","[11, 3, 3]",p,174
27,"[4, 2]","[9, 10]",9,"[4, 2, 10, 5]","[9, 10]",p,168
28,"[4, 10]","[11, 10]",11,"[4, 10]","[11, 10]",d,164
29,"[10, 6]","[10, 10]",10,"[10, 6, 10]","[10, 10]",d,159
30,"[9, 2]","[8, 7]",8,"[9, 2, 10]","[8, 7, 10]",pdd,153
31,"[10, 10]","[11, 4]",11,"[10, 10]","[1, 4, 9, 4]",p,147
32,"[7, 8]","[10, 10]",10,"[7, 8, 10]","[10, 10]",d,142
33,"[4, 4]","[7, 11]",7,"[4, 4, 5, 10]","[7, 11]",d,136
34,"[7, 8]","[8, 10]",8,"[7, 8, 1, 7]","[8, 10]",d,130
35,"[11, 2]","[6, 7]",6,"[11, 2, 5]","[6, 7, 6]",ddd,124
36,"[7, 2]","[3, 10]",3,"[7, 2, 5]","[3, 10, 4]",ddd,118
37,"[7, 10]","[3, 10]",3,"[7, 10]","[3, 10, 9]",p,113
38,"[10, 10]","[10, 5]",10,"[10, 10]","[10, 5, 5]",pu,108
39,"[10, 6]","[10, 10]",10,"[10, 6, 7]","[10, 10]",d,103
40,"[10, 8]","[10, 6]",10,"[10, 8]","[10, 6, 2]",pu,98
41,"[9, 2]","[7, 4]",7,"[9, 2, 3]","[7, 4, 10]",ddd,92
42,"[10, 8]","[6, 5]",6,"[10, 8]","[6, 5, 4, 10]",p,86
43,"[6, 10]","[10, 9]",10,"[6, 10, 6]","[10, 9]",d,81
44,"[10, 6]","[5, 10]",5,"[10, 6]","[5, 10, 4]",d,76
45,"[2, 4]","[11, 10]",11,"[2, 4]","[11, 10]",d,72
46,"[5, 10]","[5, 10]",5,"[5, 10]","[5, 10, 4]",d,67
47,"[5, 2]","[10, 9]",10,"[5, 2, 11, 2]","[10, 9]",p,61
48,"[2, 2]","[7, 4]",7,"[[2, 7, 8], [2, 4, 1, 6, 6]]","[7, 4, 2, 10]","['p', 'p']",49
49,"[10, 5]","[4, 3]",4,"[10, 5]","[4, 3, 2, 7, 1]",d,42
50,"[10, 8]","[10, 5]",10,"[10, 8]","[10, 5, 3]",pu,37
51,"[8, 3]","[8, 10]",8,"[8, 3, 10]","[8, 10]",pdd,32
52,"[10, 10]","[7, 10]",7,"[10, 10]","[7, 10]",p,28
53,"[10, 10]","[3, 10]",3,"[10, 10]","[3, 10, 6]",p,23
54,"[10, 7]","[10, 5]",10,"[10, 7]","[10, 5, 4]",d,307
55,"[9, 10]","[11, 10]",11,"[9, 10]","[11, 10]",d,303
56,"[10, 3]","[10, 3]",10,"[10, 3, 10]","[10, 3]",d,298
57,"[6, 11]","[11, 5]",11,"[6, 1, 10]","[11, 5, 4]",d,292
58,"[9, 8]","[10, 10]",10,"[9, 8]","[10, 10]",d,288
59,"[5, 6]","[10, 9]",10,"[5, 6, 10]","[10, 9]",pdd,283
60,"[10, 7]","[10, 8]",10,"[10, 7]","[10, 8]",d,279
61,"[5, 10]","[10, 3]",10,"[5, 10, 10]","[10, 3]",d,274
62,"[10, 7]","[10, 3]",10,"[10, 7]","[10, 3, 2, 7]",p,268
63,"[10, 2]","[6, 10]",6,"[10, 2]","[6, 10, 6]",p,263
64,"[4, 6]","[3, 10]",3,"[4, 6, 7]","[3, 10, 10]",pdd,257
65,"[11, 2]","[4, 10]",4,"[11, 2, 7]","[4, 10, 10]",p,251
66,"[2, 10]","[5, 10]",5,"[2, 10]","[5, 10, 7]",p,246
67,"[10, 10]","[4, 4]",4,"[10, 10]","[4, 4, 7, 1, 8]",p,239
68,"[10, 6]","[7, 10]",7,"[10, 6, 10]","[7, 10]",d,234
69,"[6, 7]","[8, 11]",8,"[6, 7, 10]","[8, 11]",d,229
70,"[3, 3]","[11, 6]",11,"[3, 3, 3, 3, 4, 4]","[11, 6]",p,221
71,"[5, 10]","[4, 4]",4,"[5, 10]","[4, 4, 9]",d,216
72,"[11, 10]","[8, 6]",8,"[11, 10]","[8, 6]",pbj,212
73,"[5, 2]","[10, 9]",10,"[5, 2, 11, 2]","[10, 9]",p,206
74,"[8, 9]","[9, 5]",9,"[8, 9]","[9, 5, 2, 7]",p,200
75,"[10, 4]","[9, 10]",9,"[10, 4, 8]","[9, 10]",d,195
76,"[10, 11]","[10, 10]",10,"[10, 11]","[10, 10]",pbj,191
77,"[7, 2]","[6, 3]",6,"[7, 2, 10]","[6, 3, 10]",pu,185
78,"[4, 5]","[6, 10]",6,"[4, 5, 10]","[6, 10, 1]",pdd,179
79,"[5, 10]","[10, 6]",10,"[5, 10, 3]","[10, 6, 4]",d,173
80,"[6, 4]","[7, 6]",7,"[6, 4, 5]","[7, 6, 10]",pdd,167
81,"[6, 8]","[2, 8]",2,"[6, 8]","[2, 8, 9]",d,162
82,"[2, 6]","[10, 10]",10,"[2, 6, 10]","[10, 10]",d,157
83,"[9, 3]","[3, 9]",3,"[9, 3, 10]","[3, 9]",d,152
84,"[2, 10]","[4, 4]",4,"[2, 10]","[4, 4, 7, 4]",d,146
85,"[2, 10]","[11, 7]",11,"[2, 10, 10]","[11, 7]",d,141
86,"[8, 9]","[7, 10]",7,"[8, 9]","[7, 10]",pu,137
87,"[10, 10]","[10, 11]",10,"[10, 10]","[10, 11]",d,133
88,"[7, 4]","[6, 6]",6,"[7, 4, 10]","[6, 6, 7]",pdd,127
89,"[10, 8]","[10, 6]",10,"[10, 8]","[10, 6, 7]",p,122
90,"[4, 10]","[2, 3]",2,"[4, 10]","[2, 3, 2, 8, 10]",p,115
91,"[9, 10]","[9, 8]",9,"[9, 10]","[9, 8]",p,111
92,"[10, 10]","[3, 10]",3,"[10, 10]","[3, 10, 1, 3]",p,105
93,"[10, 8]","[3, 2]",3,"[10, 8]","[3, 2, 2, 6, 10]",p,98
94,"[8, 2]","[7, 11]",7,"[8, 2, 8]","[7, 11]",pu,93
95,"[3, 5]","[11, 8]",11,"[3, 5, 9]","[11, 8]",d,88
96,"[5, 10]","[5, 10]",5,"[5, 10]","[5, 10, 3]",d,83
97,"[10, 3]","[5, 6]",5,"[10, 3]","[5, 6, 4, 1, 9]",p,76
98,"[11, 5]","[9, 2]",9,"[1, 5, 2, 8, 10]","[9, 2]",d,69
99,"[10, 7]","[5, 9]",5,"[10, 7]","[5, 9, 6]",d,64
100,"[10, 10]","[10, 11]",10,"[10, 10]","[10, 11]",d,60
