hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[9, 10]","[7, 5]",7,"[9, 10]","[7, 5, 3, 10]",p,306
2,"[7, 5]","[10, 9]",10,"[7, 5, 10]","[10, 9]",d,301
3,"[10, 10]","[10, 2]",10,"[10, 10]","[10, 2, 7]",p,296
4,"[10, 2]","[5, 5]",5,"[10, 2]","[5, 5, 3, 10]",p,290
5,"[10, 11]","[8, 7]",8,"[10, 11]","[8, 7]",pbj,286
6,"[10, 8]","[10, 6]",10,"[10, 8]","[10, 6, 7]",p,281
7,"[10, 3]","[4, 9]",4,"[10, 3]","[4, 9, 8]",d,276
8,"[4, 9]","[10, 7]",10,"[4, 9, 4]","[10, 7]",pu,271
9,"[9, 5]","[10, 3]",10,"[9, 5, 2, 10]","[10, 3]",d,265
10,"[4, 4]","[2, 10]",2,"[4, 4, 10]","[2, 10, 10]",p,259
11,"[10, 11]","[7, 8]",7,"[10, 11]","[7, 8]",pbj,255
12,"[4, 7]","[7, 8]",7,"[4, 7, 10]","[7, 8, 10]",pdd,249
13,"[2, 7]","[8, 10]",8,"[2, 7, 8]","[8, 10]",d,244
14,"[10, 6]","[7, 4]",7,"[10, 6, 10]","[7, 4]",d,239
15,"[2, 8]","[10, 3]",10,"[2, 8, 7]","[10, 3, 4]",pu,233
16,"[9, 9]","[4, 6]",4,"[[9, 8], [9, 3], [9, 5]]","[4, 6, 3, 10]","['p', 'p', 'p']",223
17,"[10, 9]","[11, 7]",11,"[10, 9]","[11, 7]",p,219
18,"[11, 8]","[7, 5]",7,"[11, 8]","[7, 5, 1, 10]",p,213
19,"[10, 4]","[8, 10]",8,"[10, 4, 3]","[8, 10]",d,208
20,"[10, 6]","[10, 5]",10,"[10, 6, 10]","[10, 5]",d,203
21,"[2, 10]","[10, 8]",10,"[2, 10, 9]","[10, 8]",p,198
22,"[5, 5]","[8, 6]",8,"[5, 5, 2]","[8, 6, 5]",ddd,192
23,"[3, 10]","[2, 11]",2,"[3, 10]","[2, 11, 6]",d,187
24,"[2, 3]","[10, 3]",10,"[2, 3, 6, 9]","[10, 3, 1, 9]",p,179
25,"[10, 5]","[4, 3]",4,"[10, 5]","[4, 3, 10]",d,174
26,"[6, 10]","[6, 10]",6,"[6, 10]","[6, 10, 6]",p,169
27,"[6, 3]","[10, 4]",10,"[6, 3, 11]","[10, 4, 5]",p,163
28,"[10, 3]","[11, 9]",11,"[10, 3, 6]","[11, 9]",d,158
29,"[10, 10]","[8, 10]",8,"[10, 10]","[8, 10]",p,154
30,"[4, 8]","[5, 6]",5,"[4, 8]","[5, 6, 1, 3, 2]",d,147
31,"[3, 5]","[10, 8]",10,"[3, 5, 11]","[10, 8]",p,142
32,"[9, 2]","[9, 5]",9,"[9, 2, 2]","[9, 5, 10]",pdd,136
33,"[8, 5]","[4, 9]",4,"[8, 5]","[4, 9, 10]",p,131
34,"[6, 6]","[8, 6]",8,"[6, 6, 10]","[8, 6]",d,126
35,"[5, 5]","[4, 11]",4,"[5, 5, 10]","[4, 1, 8, 4]",pdd,119
