hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,19,hard,no split,1,3,19,23,1.0,307,5,"[10, 9]","[3, 10, 10]",-2,-0.4
2,16,hard,no split,1,8,20,18,1.0,302,5,"[9, 7, 4]","[8, 10]",-2,-0.4
3,16,hard,no split,1,8,26,14,-1.0,297,5,"[6, 10, 10]","[8, 6]",-2,-0.4
4,18,hard,no split,1,6,18,23,1.0,292,5,"[10, 8]","[6, 10, 7]",-3,-0.6
5,17,hard,no split,1,9,17,19,-1.0,288,5,"[7, 10]","[9, 10]",-5,-1.0
6,20,hard,no split,1,10,20,23,1.0,283,5,"[10, 10]","[10, 4, 9]",-7,-1.4
7,15,hard,no split,1,10,25,20,-1.0,278,5,"[10, 5, 10]","[10, 10]",-10,-2.0
8,20,hard,no split,1,6,20,18,1.0,273,5,"[10, 10]","[6, 10, 2]",-11,-2.2
9,13,hard,no split,1,5,13,21,-1.0,267,5,"[3, 10]","[5, 5, 6, 5]",-7,-1.4
10,12,hard,no split,1,10,21,19,1.0,260,5,"[2, 10, 2, 7]","[10, 5, 4]",-5,-1.0
11,14,hard,no split,1,10,24,14,-1.0,255,4,"[4, 10, 10]","[10, 4]",-6,-1.5
12,12,hard,no split,1,10,19,20,-1.0,250,4,"[4, 8, 7]","[10, 10]",-7,-1.75
13,12,hard,no split,1,6,12,23,1.0,245,4,"[7, 5]","[6, 10, 7]",-6,-1.5
14,10,hard,no split,1,4,20,17,2.0,239,4,"[4, 6, 10]","[4, 2, 11]",-4,-1.0
15,16,hard,no split,1,10,22,20,-1.0,234,4,"[6, 10, 6]","[10, 10]",-5,-1.25
16,12,hard,no split,1,11,12,21,-1.0,230,4,"[10, 2]","[11, 10]",-7,-1.75
17,18,hard,no split,1,6,18,18,0.0,224,4,"[10, 8]","[6, 3, 7, 2]",-5,-1.25
18,8,hard,no split,1,4,18,24,1.0,217,4,"[6, 2, 10]","[4, 1, 9, 10]",-5,-1.25
19,18,hard,no split,1,8,18,24,1.0,211,4,"[10, 8]","[8, 3, 4, 9]",-4,-1.0
20,10,hard,no split,1,3,17,21,-2.0,204,3,"[6, 4, 7]","[3, 2, 6, 10]",0,0.0
21,5,hard,no split,1,5,15,23,1.0,196,3,"[2, 3, 2, 8]","[5, 8, 2, 8]",5,1.6666666666666667
22,11,hard,no split,1,11,18,19,-1.0,187,3,"[7, 4, 3, 2, 2]","[1, 3, 10, 5]",9,3.0
23,13,hard,no split,1,8,17,19,-1.0,182,3,"[10, 3, 4]","[8, 11]",9,3.0
24,15,soft,no split,1,8,20,17,1.0,177,3,"[11, 4, 5]","[8, 9]",10,3.3333333333333335
25,10,hard,no split,1,10,21,20,1.0,172,3,"[4, 6, 11]","[10, 10]",9,3.0
26,14,hard,no split,1,10,18,20,-1.0,167,3,"[5, 9, 4]","[10, 10]",9,3.0
27,16,soft,no split,1,8,20,17,1.0,162,3,"[5, 11, 4]","[8, 9]",10,3.3333333333333335
28,13,hard,no split,1,3,13,19,-1.0,157,3,"[7, 6]","[3, 6, 10]",12,4.0
29,14,hard,no split,1,10,18,25,1.0,150,2,"[10, 4, 4]","[10, 2, 3, 10]",13,6.5
30,19,hard,no split,1,10,19,19,0.0,146,2,"[9, 10]","[10, 9]",11,5.5
31,12,hard,no split,1,6,12,26,1.0,138,2,"[3, 9]","[6, 5, 3, 1, 1, 10]",12,6.0
32,7,hard,no split,1,8,22,17,-1.0,132,2,"[3, 4, 5, 10]","[8, 9]",14,7.0
33,20,hard,no split,1,10,20,20,0.0,128,2,"[10, 10]","[10, 10]",10,5.0
34,19,hard,no split,1,8,19,20,-1.0,123,2,"[9, 10]","[8, 2, 10]",9,4.5
35,15,hard,no split,1,7,25,18,-1.0,118,2,"[5, 10, 10]","[7, 11]",7,3.5
36,14,hard,no split,1,9,24,17,-1.0,113,2,"[6, 8, 10]","[9, 8]",7,3.5
37,14,hard,split,2,5,17,21,-2.0,106,2,"[[7, 10], [7, 10]]","[5, 7, 9]",6,3.0
38,4,hard,split,2,5,19,18,4.0,97,1,"[[2, 7, 10], [2, 11, 6]]","[5, 6, 7]",9,9.0
39,11,hard,no split,1,10,19,17,2.0,92,1,"[3, 8, 8]","[10, 7]",9,9.0
40,17,soft,no split,1,9,20,19,1.0,87,1,"[6, 11, 3]","[9, 10]",9,9.0
41,20,hard,no split,1,8,20,19,1.0,81,1,"[10, 10]","[8, 7, 1, 3]",7,7.0
42,19,hard,no split,1,7,19,18,1.0,77,1,"[9, 10]","[7, 11]",5,5.0
43,16,soft,no split,1,10,19,20,-1.0,71,1,"[1, 5, 2, 11]","[10, 10]",3,3.0
44,18,hard,no split,1,10,18,19,-1.0,67,1,"[8, 10]","[10, 9]",1,1.0
45,21,soft,no split,1,10,21,20,1.5,63,1,"[10, 11]","[10, 10]",-3,-3.0
46,15,hard,no split,1,8,18,18,0.0,58,1,"[6, 9, 3]","[8, 10]",-2,-2.0
47,15,hard,no split,1,10,17,20,-1.0,53,1,"[10, 5, 2]","[10, 10]",-3,-3.0
48,20,hard,no split,1,10,20,19,1.0,49,0,"[10, 10]","[10, 9]",-6,-6.0
49,8,hard,no split,1,11,8,21,-1.0,45,0,"[5, 3]","[11, 10]",-6,-6.0
50,8,hard,no split,1,5,18,24,1.0,38,0,"[3, 5, 3, 7]","[5, 10, 9]",-3,-3.0
51,13,hard,no split,1,10,13,21,-1.0,34,0,"[6, 7]","[10, 11]",-4,-4.0
52,18,soft,no split,1,10,22,20,-1.0,28,0,"[7, 1, 4, 10]","[10, 10]",-7,-7.0
53,10,hard,no split,1,10,19,23,1.0,21,0,"[6, 4, 2, 7]","[10, 3, 10]",-5,-5.0
54,15,soft,no split,1,2,13,22,1.0,305,5,"[4, 1, 8]","[2, 3, 7, 10]",1,0.2
55,20,hard,no split,1,7,20,26,1.0,299,5,"[10, 10]","[7, 2, 7, 10]",-1,-0.2
56,14,hard,no split,1,11,23,17,-1.0,294,5,"[10, 4, 9]","[11, 6]",-1,-0.2
57,21,soft,no split,1,10,21,13,1.5,290,5,"[11, 10]","[10, 3]",-3,-0.6
58,20,hard,no split,1,2,20,18,1.0,285,5,"[10, 10]","[2, 10, 6]",-4,-0.8
59,15,hard,no split,1,11,15,21,-1.0,281,5,"[10, 5]","[11, 10]",-6,-1.2
60,17,soft,no split,1,6,27,16,-1.0,276,5,"[6, 11, 10]","[6, 10]",-7,-1.4
61,13,hard,no split,1,11,13,21,-1.0,272,5,"[3, 10]","[11, 10]",-9,-1.8
62,20,hard,no split,1,9,20,18,1.0,268,5,"[10, 10]","[9, 9]",-11,-2.2
63,13,soft,no split,1,10,20,19,1.0,262,5,"[2, 1, 9, 8]","[10, 9]",-12,-2.4
64,11,hard,no split,1,10,21,19,2.0,256,4,"[3, 8, 10]","[10, 2, 7]",-12,-3.0
65,12,hard,no split,1,4,12,20,-1.0,251,4,"[5, 7]","[4, 5, 11]",-10,-2.5
66,13,hard,no split,1,2,13,17,-1.0,246,4,"[10, 3]","[2, 10, 5]",-9,-2.25
67,5,hard,no split,1,7,23,17,-1.0,238,4,"[3, 2, 3, 2, 3, 10]","[7, 10]",-6,-1.5
68,17,hard,no split,1,9,17,19,-1.0,234,4,"[10, 7]","[9, 10]",-8,-2.0
69,14,hard,no split,1,10,24,14,-1.0,229,4,"[8, 6, 10]","[10, 4]",-8,-2.0
70,10,hard,no split,1,7,15,18,-2.0,223,4,"[5, 5, 5]","[7, 8, 3]",-4,-1.0
71,16,hard,no split,1,10,26,16,-1.0,218,4,"[6, 10, 10]","[10, 6]",-5,-1.25
72,14,hard,no split,1,4,14,18,-1.0,213,4,"[8, 6]","[4, 4, 10]",-3,-0.75
73,18,soft,no split,1,10,18,18,0.0,208,4,"[7, 1, 10]","[10, 8]",-6,-1.5
74,20,hard,no split,1,6,20,26,1.0,203,3,"[10, 10]","[6, 10, 10]",-9,-3.0
75,16,hard,no split,1,10,26,20,-1.0,198,3,"[7, 9, 10]","[10, 10]",-12,-4.0
76,6,hard,no split,1,2,14,22,1.0,192,3,"[2, 4, 8]","[2, 10, 10]",-11,-3.6666666666666665
77,20,hard,no split,1,5,20,25,1.0,187,3,"[10, 10]","[5, 10, 10]",-14,-4.666666666666667
78,19,hard,no split,1,4,19,24,1.0,182,3,"[10, 9]","[4, 10, 10]",-16,-5.333333333333333
79,14,hard,no split,1,5,14,17,-1.0,176,3,"[5, 9]","[5, 2, 3, 7]",-12,-4.0
80,16,soft,no split,1,2,18,19,-1.0,169,3,"[5, 11, 2]","[2, 2, 10, 5]",-9,-3.0
81,9,hard,no split,1,8,18,18,0.0,164,3,"[3, 6, 9]","[8, 10]",-8,-2.6666666666666665
82,16,hard,split,2,10,18,24,2.0,156,3,"[[8, 10], [8, 10]]","[10, 3, 1, 10]",-12,-4.0
83,8,hard,no split,1,10,17,20,-1.0,150,2,"[5, 3, 3, 6]","[10, 10]",-10,-5.0
84,9,hard,no split,1,6,19,17,2.0,144,2,"[7, 2, 10]","[6, 10, 1]",-11,-5.5
85,7,hard,no split,1,4,14,19,-1.0,138,2,"[3, 4, 7]","[4, 8, 7]",-8,-4.0
86,13,hard,no split,1,9,17,17,0.0,133,2,"[7, 6, 4]","[9, 8]",-6,-3.0
87,16,hard,no split,1,11,23,14,-1.0,128,2,"[6, 10, 7]","[11, 3]",-6,-3.0
88,16,hard,no split,1,10,26,14,-1.0,123,2,"[10, 6, 10]","[10, 4]",-7,-3.5
89,7,hard,no split,1,11,19,17,1.0,117,2,"[2, 5, 2, 10]","[11, 6]",-5,-2.5
90,9,hard,no split,1,10,18,20,-1.0,112,2,"[5, 4, 9]","[10, 10]",-5,-2.5
91,15,soft,no split,1,11,19,17,1.0,106,2,"[1, 4, 10, 4]","[11, 6]",-5,-2.5
92,6,hard,no split,1,9,23,20,-1.0,100,1,"[3, 3, 8, 9]","[9, 11]",-4,-4.0
93,11,hard,no split,1,10,16,22,2.0,94,1,"[8, 3, 5]","[10, 2, 10]",-3,-3.0
94,21,soft,no split,1,8,21,11,1.5,90,1,"[10, 11]","[8, 3]",-4,-4.0
95,17,hard,no split,1,10,17,18,-1.0,86,1,"[7, 10]","[10, 8]",-6,-6.0
96,11,hard,no split,1,10,20,19,2.0,80,1,"[7, 4, 9]","[10, 4, 5]",-4,-4.0
97,14,hard,no split,1,3,14,19,-1.0,74,1,"[10, 4]","[3, 6, 6, 4]",0,0.0
98,18,hard,no split,1,2,18,24,1.0,68,1,"[8, 10]","[2, 5, 7, 10]",0,0.0
99,12,hard,no split,1,10,12,21,-1.0,64,1,"[2, 10]","[10, 11]",-2,-2.0
100,21,soft,no split,1,10,21,18,1.5,60,1,"[10, 11]","[10, 8]",-5,-5.0
