hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[10, 9]","[3, 10]",3,"[10, 9]","[3, 10, 10]",p,307
2,"[9, 7]","[8, 10]",8,"[9, 7, 4]","[8, 10]",p,302
3,"[6, 10]","[8, 6]",8,"[6, 10, 10]","[8, 6]",d,297
4,"[10, 8]","[6, 10]",6,"[10, 8]","[6, 10, 7]",p,292
5,"[7, 10]","[9, 10]",9,"[7, 10]","[9, 10]",d,288
6,"[10, 10]","[10, 4]",10,"[10, 10]","[10, 4, 9]",p,283
7,"[10, 5]","[10, 10]",10,"[10, 5, 10]","[10, 10]",d,278
8,"[10, 10]","[6, 10]",6,"[10, 10]","[6, 10, 2]",p,273
9,"[3, 10]","[5, 5]",5,"[3, 10]","[5, 5, 6, 5]",d,267
10,"[2, 10]","[10, 5]",10,"[2, 10, 2, 7]","[10, 5, 4]",p,260
11,"[4, 10]","[10, 4]",10,"[4, 10, 10]","[10, 4]",d,255
12,"[4, 8]","[10, 10]",10,"[4, 8, 7]","[10, 10]",d,250
13,"[7, 5]","[6, 10]",6,"[7, 5]","[6, 10, 7]",p,245
14,"[4, 6]","[4, 2]",4,"[4, 6, 10]","[4, 2, 11]",pdd,239
15,"[6, 10]","[10, 10]",10,"[6, 10, 6]","[10, 10]",d,234
16,"[10, 2]","[11, 10]",11,"[10, 2]","[11, 10]",d,230
17,"[10, 8]","[6, 3]",6,"[10, 8]","[6, 3, 7, 2]",pu,224
18,"[6, 2]","[4, 11]",4,"[6, 2, 10]","[4, 1, 9, 10]",p,217
19,"[10, 8]","[8, 3]",8,"[10, 8]","[8, 3, 4, 9]",p,211
20,"[6, 4]","[3, 2]",3,"[6, 4, 7]","[3, 2, 6, 10]",ddd,204
21,"[2, 3]","[5, 8]",5,"[2, 3, 2, 8]","[5, 8, 2, 8]",p,196
22,"[7, 4]","[11, 3]",11,"[7, 4, 3, 2, 2]","[1, 3, 10, 5]",d,187
23,"[10, 3]","[8, 11]",8,"[10, 3, 4]","[8, 11]",d,182
