hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,18,soft,no split,1,10,18,19,-1.0,307,5,"[1, 7, 10]","[10, 9]",-3,-0.6
2,20,hard,no split,1,8,20,18,1.0,303,5,"[10, 10]","[8, 10]",-6,-1.2
3,14,hard,no split,1,6,14,25,1.0,298,5,"[8, 6]","[6, 10, 9]",-5,-1.0
4,12,hard,no split,1,8,23,11,-1.0,292,5,"[10, 2, 1, 10]","[8, 3]",-6,-1.2
5,18,hard,no split,1,6,18,19,-1.0,287,5,"[10, 8]","[6, 10, 3]",-6,-1.2
6,15,hard,no split,1,6,15,20,-1.0,282,5,"[8, 7]","[6, 10, 4]",-5,-1.0
7,17,soft,no split,1,10,17,21,-1.0,278,5,"[11, 6]","[10, 11]",-7,-1.4
8,19,soft,no split,1,5,19,20,-1.0,273,5,"[11, 8]","[5, 5, 10]",-7,-1.4
9,18,soft,no split,1,3,20,17,2.0,267,5,"[11, 7, 2]","[3, 6, 8]",-5,-1.0
10,16,hard,no split,1,10,24,16,-1.0,262,5,"[10, 6, 8]","[10, 6]",-5,-1.0
11,11,hard,no split,1,10,19,18,2.0,257,4,"[6, 5, 8]","[10, 8]",-4,-1.0
12,16,hard,no split,1,9,26,13,-1.0,252,4,"[6, 10, 10]","[9, 4]",-4,-1.0
13,20,hard,no split,1,3,20,23,1.0,247,4,"[10, 10]","[3, 10, 10]",-7,-1.75
14,11,hard,no split,1,5,21,20,2.0,241,4,"[9, 2, 10]","[5, 11, 4]",-6,-1.5
15,13,hard,no split,1,2,13,25,1.0,235,4,"[10, 3]","[2, 10, 3, 10]",-6,-1.5
16,17,hard,no split,1,4,17,22,1.0,229,4,"[10, 7]","[4, 2, 9, 7]",-5,-1.25
17,7,hard,no split,1,3,13,17,-1.0,222,4,"[5, 2, 3, 3]","[3, 10, 4]",0,0.0
18,14,hard,no split,1,9,20,20,0.0,216,4,"[4, 10, 6]","[9, 2, 9]",2,0.5
19,14,hard,no split,1,7,21,23,1.0,209,4,"[10, 4, 1, 6]","[7, 9, 7]",2,0.5
20,14,hard,no split,1,7,24,12,-1.0,204,3,"[9, 5, 10]","[7, 5]",3,1.0
21,16,soft,no split,1,4,20,19,2.0,198,3,"[5, 11, 4]","[4, 4, 11]",5,1.6666666666666667
22,20,soft,no split,1,7,20,22,1.0,193,3,"[9, 11]","[7, 7, 8]",4,1.3333333333333333
23,14,soft,no split,1,7,23,17,-1.0,187,3,"[3, 1, 9, 10]","[7, 10]",2,0.6666666666666666
24,20,hard,no split,1,9,20,19,1.0,182,3,"[10, 10]","[9, 3, 7]",1,0.3333333333333333
25,20,hard,no split,1,6,20,24,1.0,177,3,"[10, 10]","[6, 8, 10]",-1,-0.3333333333333333
26,14,hard,no split,1,5,14,21,-1.0,172,3,"[4, 10]","[5, 6, 10]",0,0.0
27,14,hard,no split,1,3,14,22,1.0,167,3,"[4, 10]","[3, 10, 9]",0,0.0
28,7,hard,no split,1,9,21,21,0.0,160,3,"[3, 4, 8, 6]","[9, 2, 10]",3,1.0
29,14,hard,no split,1,10,24,19,-1.0,155,2,"[4, 10, 10]","[10, 9]",1,0.5
30,18,hard,no split,1,10,18,25,1.0,150,2,"[10, 8]","[10, 5, 10]",-1,-0.5
31,12,hard,no split,1,9,22,11,-1.0,145,2,"[2, 10, 10]","[9, 2]",-1,-0.5
32,13,hard,no split,1,10,19,20,-1.0,139,2,"[10, 3, 2, 4]","[10, 10]",-1,-0.5
33,10,hard,no split,1,5,19,23,2.0,132,2,"[8, 2, 9]","[5, 10, 1, 7]",-1,-0.5
34,20,hard,no split,1,5,20,17,1.0,127,2,"[10, 10]","[5, 2, 10]",-2,-1.0
35,15,hard,no split,1,11,25,19,-1.0,122,2,"[10, 5, 10]","[11, 8]",-4,-2.0
36,13,hard,no split,1,7,22,12,-1.0,117,2,"[3, 10, 9]","[7, 5]",-3,-1.5
37,19,soft,no split,1,6,19,17,1.0,113,2,"[8, 11]","[6, 11]",-4,-2.0
38,9,hard,no split,1,10,20,23,1.0,106,2,"[6, 3, 11]","[10, 2, 1, 10]",-5,-2.5
39,13,hard,no split,1,5,13,18,-1.0,101,1,"[3, 10]","[5, 9, 4]",-3,-3.0
40,17,hard,no split,1,11,17,21,-1.0,97,1,"[7, 10]","[11, 10]",-6,-6.0
41,10,hard,no split,1,4,20,17,2.0,91,1,"[5, 5, 10]","[4, 7, 6]",-3,-3.0
42,9,hard,no split,1,7,19,17,1.0,86,1,"[6, 3, 10]","[7, 10]",-3,-3.0
43,15,hard,no split,1,10,17,20,-1.0,80,1,"[6, 9, 1, 1]","[10, 10]",-6,-6.0
44,18,hard,no split,1,9,18,20,-1.0,76,1,"[10, 8]","[9, 11]",-8,-8.0
45,20,hard,no split,1,6,20,23,1.0,71,1,"[10, 10]","[6, 7, 10]",-10,-10.0
46,16,hard,no split,1,3,16,17,-1.0,66,1,"[6, 10]","[3, 10, 4]",-9,-9.0
47,20,hard,no split,1,7,20,18,1.0,61,1,"[10, 10]","[7, 2, 9]",-10,-10.0
48,11,hard,no split,1,9,21,18,2.0,55,1,"[5, 6, 10]","[9, 2, 7]",-8,-8.0
49,12,hard,no split,1,5,12,18,-1.0,50,0,"[2, 10]","[5, 8, 5]",-6,-6.0
50,6,hard,no split,1,4,16,19,-1.0,44,0,"[2, 4, 10]","[4, 7, 8]",-4,-4.0
51,15,hard,no split,1,2,15,19,-1.0,38,0,"[5, 10]","[2, 4, 3, 10]",-2,-2.0
52,11,hard,no split,1,8,19,22,2.0,32,0,"[8, 3, 8]","[8, 4, 10]",-1,-1.0
53,7,hard,no split,1,3,17,20,-1.0,26,0,"[2, 5, 10]","[3, 10, 7]",0,0.0
54,21,soft,no split,1,4,21,14,1.5,22,0,"[10, 11]","[4, 10]",-2,-2.0
55,14,hard,no split,1,11,18,20,-1.0,306,5,"[4, 10, 4]","[11, 2, 7]",1,0.2
56,13,hard,no split,1,10,18,21,-1.0,299,5,"[3, 10, 1, 4]","[10, 2, 9]",1,0.2
57,13,hard,no split,1,10,17,20,-1.0,292,5,"[3, 10, 1, 3]","[10, 3, 7]",1,0.2
