hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[2, 8]","[4, 10]",4,"[2, 8, 8]","[4, 10, 10]",pdd,306
2,"[10, 6]","[3, 4]",3,"[10, 6]","[3, 4, 7, 1, 7]",p,299
3,"[3, 10]","[10, 5]",10,"[3, 10, 9]","[10, 5]",d,294
4,"[5, 10]","[5, 7]",5,"[5, 10]","[5, 7, 4, 10]",p,288
5,"[10, 7]","[10, 10]",10,"[10, 7]","[10, 10]",d,284
6,"[11, 11]","[8, 5]",8,"[[11, 4], [11, 4]]","[8, 5, 2, 10]","['p', 'p']",276
7,"[9, 6]","[11, 4]",11,"[9, 6, 3]","[1, 4, 10, 5]",d,269
8,"[2, 10]","[4, 9]",4,"[2, 10]","[4, 9, 9]",p,264
9,"[2, 6]","[5, 10]",5,"[2, 6, 8]","[5, 10, 3]",d,258
10,"[7, 3]","[5, 3]",5,"[7, 3, 11]","[5, 3, 10]",pdd,252
11,"[10, 3]","[8, 11]",8,"[10, 3, 1, 4]","[8, 11]",d,246
12,"[8, 10]","[11, 5]",11,"[8, 10]","[1, 5, 10, 1]",p,240
13,"[9, 8]","[10, 10]",10,"[9, 8]","[10, 10]",d,236
14,"[6, 5]","[6, 5]",6,"[6, 5, 4]","[6, 5, 9]",ddd,230
15,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,226
16,"[10, 8]","[6, 10]",6,"[10, 8]","[6, 10, 10]",p,221
17,"[3, 10]","[10, 10]",10,"[3, 10, 8]","[10, 10]",p,216
18,"[2, 9]","[3, 2]",3,"[2, 9, 10]","[3, 2, 6, 2, 10]",pdd,208
19,"[10, 2]","[10, 10]",10,"[10, 2, 2, 10]","[10, 10]",d,202
20,"[11, 7]","[6, 10]",6,"[11, 7, 9]","[6, 10]",d,197
21,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,193
22,"[10, 10]","[7, 9]",7,"[10, 10]","[7, 9, 7]",p,188
23,"[11, 10]","[10, 6]",10,"[11, 10]","[10, 6]",pbj,184
24,"[2, 3]","[10, 2]",10,"[2, 3, 10, 3]","[10, 2, 10]",p,177
25,"[7, 7]","[4, 5]",4,"[[7, 10], [7, 10], [7, 10]]","[4, 5, 11]","['d', 'd', 'd']",168
26,"[2, 10]","[10, 4]",10,"[2, 10, 1, 10]","[10, 4]",d,162
27,"[5, 11]","[3, 6]",3,"[5, 1, 8]","[3, 6, 4, 10]",p,155
28,"[10, 8]","[10, 10]",10,"[10, 8]","[10, 10]",d,151
29,"[6, 9]","[8, 3]",8,"[6, 9, 4]","[8, 3, 2, 7]",d,144
30,"[8, 5]","[10, 7]",10,"[8, 5, 8]","[10, 7]",p,139
31,"[10, 9]","[10, 5]",10,"[10, 9]","[10, 5, 3]",p,134
32,"[2, 10]","[10, 5]",10,"[2, 10, 6]","[10, 5, 9]",p,128
33,"[3, 6]","[11, 6]",11,"[3, 6, 10]","[11, 6]",p,123
34,"[2, 2]","[10, 7]",10,"[2, 2, 4, 10]","[10, 7]",p,117
35,"[2, 10]","[8, 3]",8,"[2, 10, 1, 3, 8]","[8, 3]",d,110
36,"[8, 5]","[7, 6]",7,"[8, 5, 10]","[7, 6]",d,105
37,"[9, 8]","[4, 10]",4,"[9, 8]","[4, 10, 5]",d,100
38,"[5, 11]","[6, 10]",6,"[5, 11, 10]","[6, 10]",d,95
39,"[10, 7]","[10, 10]",10,"[10, 7]","[10, 10]",d,91
40,"[9, 8]","[10, 10]",10,"[9, 8]","[10, 10]",d,87
41,"[6, 8]","[6, 2]",6,"[6, 8]","[6, 2, 7, 7]",p,81
42,"[11, 11]","[5, 9]",5,"[[11, 2], [11, 10]]","[5, 9, 6]","['d', 'p']",74
43,"[9, 9]","[5, 10]",5,"[[9, 10], [9, 10], [9, 4]]","[5, 10, 5]","['d', 'd', 'd']",65
44,"[7, 10]","[9, 10]",9,"[7, 10]","[9, 10]",d,61
45,"[4, 5]","[7, 3]",7,"[4, 5, 6, 10]","[7, 3]",d,55
46,"[8, 10]","[10, 7]",10,"[8, 10]","[10, 7]",p,51
47,"[3, 4]","[10, 3]",10,"[3, 4, 9, 9]","[10, 3]",d,45
48,"[7, 6]","[7, 3]",7,"[7, 6, 10]","[7, 3]",d,40
49,"[10, 2]","[5, 8]",5,"[10, 2]","[5, 8, 1, 4]",d,34
50,"[4, 11]","[8, 8]",8,"[4, 1, 2, 9, 7]","[8, 8]",d,27
51,"[10, 9]","[2, 4]",2,"[10, 9]","[2, 4, 11]",p,22
52,"[2, 4]","[11, 8]",11,"[2, 4, 10, 10]","[11, 8]",d,306
53,"[10, 8]","[4, 6]",4,"[10, 8]","[4, 6, 4, 1, 8]",p,299
54,"[9, 10]","[10, 9]",10,"[9, 10]","[10, 9]",pu,295
55,"[10, 11]","[6, 5]",6,"[10, 11]","[6, 5]",pbj,291
56,"[7, 10]","[3, 7]",3,"[7, 10]","[3, 7, 10]",d,286
57,"[11, 7]","[9, 11]",9,"[1, 7, 10]","[9, 11]",d,281
58,"[2, 10]","[11, 11]",11,"[2, 10, 8]","[1, 1, 10, 8]",pu,274
59,"[7, 10]","[10, 10]",10,"[7, 10]","[10, 10]",d,270
60,"[5, 4]","[9, 2]",9,"[5, 4, 5, 7]","[9, 2, 10]",pu,263
61,"[10, 5]","[10, 9]",10,"[10, 5, 10]","[10, 9]",d,258
62,"[9, 10]","[4, 10]",4,"[9, 10]","[4, 10, 5]",pu,253
63,"[7, 4]","[10, 10]",10,"[7, 4, 10]","[10, 10]",pdd,248
64,"[4, 9]","[10, 10]",10,"[4, 9, 4]","[10, 10]",d,243
65,"[2, 10]","[10, 10]",10,"[2, 10, 10]","[10, 10]",d,238
66,"[2, 4]","[3, 4]",3,"[2, 4, 10]","[3, 4, 9, 6]",p,231
67,"[9, 11]","[11, 10]",11,"[9, 11]","[11, 10]",d,227
68,"[7, 3]","[10, 2]",10,"[7, 3, 11]","[10, 2, 9]",pu,221
69,"[10, 8]","[8, 9]",8,"[10, 8]","[8, 9]",p,217
70,"[2, 7]","[10, 4]",10,"[2, 7, 7, 2]","[10, 4, 1, 6]",d,209
71,"[7, 6]","[6, 7]",6,"[7, 6]","[6, 7, 8]",d,204
72,"[5, 10]","[2, 4]",2,"[5, 10]","[2, 4, 8, 6]",d,198
73,"[8, 9]","[10, 7]",10,"[8, 9]","[10, 7]",pu,194
74,"[4, 3]","[11, 10]",11,"[4, 3]","[11, 10]",d,190
75,"[4, 10]","[10, 6]",10,"[4, 10, 8]","[10, 6]",d,185
76,"[10, 10]","[9, 3]",9,"[10, 10]","[9, 3, 3, 7]",p,179
77,"[10, 10]","[5, 9]",5,"[10, 10]","[5, 9, 5]",p,174
78,"[10, 11]","[8, 2]",8,"[10, 11]","[8, 2]",pbj,170
79,"[10, 6]","[10, 4]",10,"[10, 6, 8]","[10, 4]",d,165
80,"[9, 6]","[3, 10]",3,"[9, 6]","[3, 10, 10]",p,160
81,"[3, 11]","[3, 10]",3,"[3, 1, 2, 6, 10]","[3, 10]",d,153
82,"[9, 9]","[4, 4]",4,"[[9, 10], [9, 8]]","[4, 4, 9]","['p', 'pu']",146
83,"[8, 10]","[10, 10]",10,"[8, 10]","[10, 10]",d,142
84,"[10, 5]","[10, 6]",10,"[10, 5, 10]","[10, 6]",d,137
85,"[5, 2]","[10, 10]",10,"[5, 2, 4, 7]","[10, 10]",d,131
86,"[11, 8]","[2, 5]",2,"[11, 8]","[2, 5, 8, 3]",p,125
87,"[2, 2]","[3, 9]",3,"[[2, 7, 2], [2, 10, 10]]","[3, 9, 5]","['ddd', 'd']",116
88,"[9, 10]","[2, 3]",2,"[9, 10]","[2, 3, 10, 10]",p,110
89,"[10, 5]","[10, 3]",10,"[10, 5, 6]","[10, 3, 10]",p,104
90,"[11, 10]","[10, 10]",10,"[11, 10]","[10, 10]",pbj,100
91,"[11, 10]","[6, 10]",6,"[11, 10]","[6, 10]",pbj,96
92,"[7, 4]","[4, 2]",4,"[7, 4, 11]","[4, 2]",d,91
93,"[9, 6]","[6, 3]",6,"[9, 6]","[6, 3, 8]",d,86
94,"[6, 7]","[10, 10]",10,"[6, 7, 10]","[10, 10]",d,81
95,"[9, 2]","[10, 10]",10,"[9, 2, 5]","[10, 10]",ddd,76
96,"[3, 10]","[5, 4]",5,"[3, 10]","[5, 4, 10]",d,71
97,"[3, 7]","[5, 11]",5,"[3, 7, 10]","[5, 11, 5]",ddd,65
98,"[6, 9]","[10, 10]",10,"[6, 9, 3]","[10, 10]",d,60
99,"[10, 3]","[7, 4]",7,"[10, 3, 9]","[7, 4]",d,55
100,"[5, 10]","[7, 2]",7,"[5, 10, 6]","[7, 2, 10]",p,49
