hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,9,hard,no split,1,10,18,20,-1.0,307,5,"[6, 3, 9]","[10, 10]",0,0.0
2,15,hard,no split,1,2,15,22,1.0,301,5,"[5, 10]","[2, 1, 9, 10]",-1,-0.2
3,15,hard,no split,1,10,15,21,-1.0,297,5,"[10, 5]","[10, 11]",-3,-0.6
4,16,hard,no split,1,3,16,19,-1.0,292,5,"[10, 6]","[3, 6, 10]",-2,-0.4
5,21,soft,no split,1,2,21,10,1.5,288,5,"[11, 10]","[2, 8]",-3,-0.6
6,6,hard,no split,1,4,15,20,-1.0,281,5,"[4, 2, 9]","[4, 4, 2, 10]",1,0.2
7,15,hard,no split,1,10,18,20,-1.0,276,5,"[10, 5, 3]","[10, 10]",0,0.0
8,19,soft,no split,1,7,19,26,1.0,271,5,"[11, 8]","[7, 9, 10]",-2,-0.4
9,11,hard,no split,1,10,20,18,2.0,266,5,"[8, 3, 9]","[10, 8]",-2,-0.4
10,16,hard,split,2,2,18,21,-2.0,258,4,"[[8, 9], [8, 11]]","[2, 8, 6, 5]",0,0.0
11,13,hard,no split,1,5,13,18,-1.0,253,4,"[4, 9]","[5, 10, 3]",2,0.5
12,9,hard,no split,1,6,19,23,2.0,247,4,"[6, 3, 10]","[6, 10, 7]",3,0.75
13,14,hard,no split,1,10,14,21,-1.0,243,4,"[4, 10]","[10, 11]",1,0.25
14,19,hard,no split,1,9,19,19,0.0,239,4,"[9, 10]","[9, 10]",-1,-0.25
15,5,hard,no split,1,10,22,13,-1.0,233,4,"[2, 3, 7, 10]","[10, 3]",0,0.0
16,19,soft,no split,1,3,19,17,1.0,226,4,"[11, 8]","[3, 1, 10, 2, 1]",-2,-0.5
17,20,soft,no split,1,7,20,23,1.0,221,4,"[11, 9]","[7, 6, 10]",-3,-0.75
18,8,hard,no split,1,6,13,18,-1.0,215,4,"[3, 5, 5]","[6, 4, 8]",2,0.5
19,15,hard,no split,1,2,15,24,1.0,209,4,"[10, 5]","[2, 6, 6, 10]",4,1.0
20,21,soft,no split,1,10,21,14,1.5,205,3,"[11, 10]","[10, 4]",2,0.6666666666666666
21,19,hard,no split,1,8,19,17,1.0,201,3,"[10, 9]","[8, 9]",1,0.3333333333333333
22,10,hard,no split,1,10,19,17,1.0,196,3,"[3, 7, 9]","[10, 7]",1,0.3333333333333333
23,17,hard,no split,1,10,17,20,-1.0,191,3,"[9, 8]","[10, 4, 6]",2,0.6666666666666666
24,10,hard,no split,1,5,15,21,-2.0,185,3,"[8, 2, 5]","[5, 10, 6]",5,1.6666666666666667
25,14,soft,no split,1,10,21,20,1.0,180,3,"[3, 11, 7]","[10, 10]",3,1.0
26,11,hard,no split,1,11,19,17,1.0,174,3,"[3, 8, 8]","[11, 3, 3]",5,1.6666666666666667
27,6,hard,no split,1,9,21,19,1.0,168,3,"[4, 2, 10, 5]","[9, 10]",6,2.0
28,14,hard,no split,1,11,14,21,-1.0,164,3,"[4, 10]","[11, 10]",4,1.3333333333333333
29,16,hard,no split,1,10,26,20,-1.0,159,3,"[10, 6, 10]","[10, 10]",1,0.3333333333333333
30,11,hard,no split,1,8,21,25,2.0,153,2,"[9, 2, 10]","[8, 7, 10]",0,0.0
31,20,hard,no split,1,11,20,18,1.0,147,2,"[10, 10]","[1, 4, 9, 4]",-1,-0.5
