hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
77,"[2, 8]","[4, 10]",4,"[2, 8, 5]","[4, 10, 1, 10]",pdd,187
78,"[11, 10]","[8, 3]",8,"[11, 10]","[8, 3]",pbj,183
79,"[11, 10]","[10, 11]",10,"[11, 10]","[10, 11]",pu,179
80,"[10, 6]","[10, 10]",10,"[10, 6, 7]","[10, 10]",d,174
81,"[11, 9]","[8, 3]",8,"[11, 9]","[8, 3, 1, 1, 6]",p,167
82,"[4, 2]","[10, 11]",10,"[4, 2]","[10, 11]",d,163
83,"[5, 10]","[6, 8]",6,"[5, 10]","[6, 8, 10]",p,158
84,"[5, 6]","[9, 9]",9,"[5, 6, 4]","[9, 9]",ddd,153
85,"[4, 11]","[3, 4]",3,"[4, 1, 2, 10]","[3, 4, 10]",pu,146
86,"[10, 6]","[4, 7]",4,"[10, 6]","[4, 7, 4, 10]",p,140
87,"[7, 5]","[10, 10]",10,"[7, 5, 2, 9]","[10, 10]",d,134
88,"[4, 7]","[10, 3]",10,"[4, 7, 11]","[10, 3]",d,129
89,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,125
90,"[6, 10]","[10, 6]",10,"[6, 10, 2]","[10, 6, 10]",p,119
91,"[8, 8]","[3, 10]",3,"[[8, 10], [8, 10]]","[3, 10, 3, 10]","['p', 'p']",111
92,"[10, 10]","[5, 3]",5,"[10, 10]","[5, 3, 6, 10]",p,105
93,"[9, 7]","[6, 6]",6,"[9, 7]","[6, 6, 5]",d,100
94,"[5, 5]","[9, 4]",9,"[5, 5, 8]","[9, 4, 6]",ddd,94
95,"[10, 6]","[4, 3]",4,"[10, 6]","[4, 3, 6, 4]",d,88
96,"[10, 7]","[11, 5]",11,"[10, 7]","[1, 5, 6, 3, 4]",d,81
97,"[11, 10]","[10, 8]",10,"[11, 10]","[10, 8]",pbj,77
98,"[10, 3]","[9, 4]",9,"[10, 3, 10]","[9, 4]",d,72
99,"[7, 8]","[8, 3]",8,"[7, 8, 4]","[8, 3, 8]",pu,66
100,"[10, 5]","[2, 3]",2,"[10, 5]","[2, 3, 7, 8]",d,60
