hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[11, 7]","[10, 9]",10,"[1, 7, 10]","[10, 9]",d,307
2,"[10, 10]","[8, 10]",8,"[10, 10]","[8, 10]",p,303
3,"[8, 6]","[6, 10]",6,"[8, 6]","[6, 10, 9]",p,298
4,"[10, 2]","[8, 3]",8,"[10, 2, 1, 10]","[8, 3]",d,292
5,"[10, 8]","[6, 10]",6,"[10, 8]","[6, 10, 3]",d,287
6,"[8, 7]","[6, 10]",6,"[8, 7]","[6, 10, 4]",d,282
7,"[11, 6]","[10, 11]",10,"[11, 6]","[10, 11]",d,278
8,"[11, 8]","[5, 5]",5,"[11, 8]","[5, 5, 10]",d,273
9,"[11, 7]","[3, 6]",3,"[11, 7, 2]","[3, 6, 8]",pdd,267
10,"[10, 6]","[10, 6]",10,"[10, 6, 8]","[10, 6]",d,262
11,"[6, 5]","[10, 8]",10,"[6, 5, 8]","[10, 8]",pdd,257
12,"[6, 10]","[9, 4]",9,"[6, 10, 10]","[9, 4]",d,252
13,"[10, 10]","[3, 10]",3,"[10, 10]","[3, 10, 10]",p,247
14,"[9, 2]","[5, 11]",5,"[9, 2, 10]","[5, 11, 4]",pdd,241
15,"[10, 3]","[2, 10]",2,"[10, 3]","[2, 10, 3, 10]",p,235
16,"[10, 7]","[4, 2]",4,"[10, 7]","[4, 2, 9, 7]",p,229
17,"[5, 2]","[3, 10]",3,"[5, 2, 3, 3]","[3, 10, 4]",d,222
18,"[4, 10]","[9, 2]",9,"[4, 10, 6]","[9, 2, 9]",pu,216
19,"[10, 4]","[7, 9]",7,"[10, 4, 1, 6]","[7, 9, 7]",p,209
20,"[9, 5]","[7, 5]",7,"[9, 5, 10]","[7, 5]",d,204
21,"[5, 11]","[4, 4]",4,"[5, 11, 4]","[4, 4, 11]",pdd,198
22,"[9, 11]","[7, 7]",7,"[9, 11]","[7, 7, 8]",p,193
23,"[3, 11]","[7, 10]",7,"[3, 1, 9, 10]","[7, 10]",d,187
24,"[10, 10]","[9, 3]",9,"[10, 10]","[9, 3, 7]",p,182
25,"[10, 10]","[6, 8]",6,"[10, 10]","[6, 8, 10]",p,177
26,"[4, 10]","[5, 6]",5,"[4, 10]","[5, 6, 10]",d,172
27,"[4, 10]","[3, 10]",3,"[4, 10]","[3, 10, 9]",p,167
28,"[3, 4]","[9, 2]",9,"[3, 4, 8, 6]","[9, 2, 10]",pu,160
29,"[4, 10]","[10, 9]",10,"[4, 10, 10]","[10, 9]",d,155
30,"[10, 8]","[10, 5]",10,"[10, 8]","[10, 5, 10]",p,150
31,"[2, 10]","[9, 2]",9,"[2, 10, 10]","[9, 2]",d,145
32,"[10, 3]","[10, 10]",10,"[10, 3, 2, 4]","[10, 10]",d,139
33,"[8, 2]","[5, 10]",5,"[8, 2, 9]","[5, 10, 1, 7]",pdd,132
34,"[10, 10]","[5, 2]",5,"[10, 10]","[5, 2, 10]",p,127
35,"[10, 5]","[11, 8]",11,"[10, 5, 10]","[11, 8]",d,122
36,"[3, 10]","[7, 5]",7,"[3, 10, 9]","[7, 5]",d,117
37,"[8, 11]","[6, 11]",6,"[8, 11]","[6, 11]",p,113
38,"[6, 3]","[10, 2]",10,"[6, 3, 11]","[10, 2, 1, 10]",p,106
39,"[3, 10]","[5, 9]",5,"[3, 10]","[5, 9, 4]",d,101
40,"[7, 10]","[11, 10]",11,"[7, 10]","[11, 10]",d,97
41,"[5, 5]","[4, 7]",4,"[5, 5, 10]","[4, 7, 6]",pdd,91
42,"[6, 3]","[7, 10]",7,"[6, 3, 10]","[7, 10]",p,86
43,"[6, 9]","[10, 10]",10,"[6, 9, 1, 1]","[10, 10]",d,80
44,"[10, 8]","[9, 11]",9,"[10, 8]","[9, 11]",d,76
45,"[10, 10]","[6, 7]",6,"[10, 10]","[6, 7, 10]",p,71
46,"[6, 10]","[3, 10]",3,"[6, 10]","[3, 10, 4]",d,66
47,"[10, 10]","[7, 2]",7,"[10, 10]","[7, 2, 9]",p,61
48,"[5, 6]","[9, 2]",9,"[5, 6, 10]","[9, 2, 7]",pdd,55
49,"[2, 10]","[5, 8]",5,"[2, 10]","[5, 8, 5]",d,50
50,"[2, 4]","[4, 7]",4,"[2, 4, 10]","[4, 7, 8]",d,44
51,"[5, 10]","[2, 4]",2,"[5, 10]","[2, 4, 3, 10]",d,38
52,"[8, 3]","[8, 4]",8,"[8, 3, 8]","[8, 4, 10]",pdd,32
53,"[2, 5]","[3, 10]",3,"[2, 5, 10]","[3, 10, 7]",d,26
54,"[10, 11]","[4, 10]",4,"[10, 11]","[4, 10]",pbj,22
55,"[4, 10]","[11, 2]",11,"[4, 10, 4]","[11, 2, 7]",d,306
56,"[3, 10]","[10, 2]",10,"[3, 10, 1, 4]","[10, 2, 9]",d,299
57,"[3, 10]","[10, 3]",10,"[3, 10, 1, 3]","[10, 3, 7]",d,292
58,"[10, 10]","[8, 11]",8,"[10, 10]","[8, 11]",p,288
59,"[10, 6]","[10, 7]",10,"[10, 6, 3]","[10, 7]",p,283
60,"[10, 9]","[8, 7]",8,"[10, 9]","[8, 7, 3]",p,278
61,"[10, 8]","[10, 5]",10,"[10, 8]","[10, 5, 10]",p,273
62,"[11, 10]","[4, 7]",4,"[11, 10]","[4, 7]",pbj,269
63,"[2, 4]","[11, 8]",11,"[2, 4, 2, 10]","[11, 8]",d,263
64,"[9, 7]","[6, 10]",6,"[9, 7]","[6, 10, 6]",p,258
65,"[11, 4]","[6, 6]",6,"[11, 4, 9]","[6, 6]",d,253
66,"[6, 6]","[10, 9]",10,"[6, 6, 7]","[10, 9]",pu,248
67,"[10, 9]","[3, 10]",3,"[10, 9]","[3, 10, 7]",d,243
68,"[10, 10]","[9, 6]",9,"[10, 10]","[9, 6, 8]",p,238
69,"[10, 10]","[8, 10]",8,"[10, 10]","[8, 10]",p,234
70,"[5, 4]","[4, 2]",4,"[5, 4, 8]","[4, 2, 5, 8]",ddd,227
71,"[9, 4]","[2, 2]",2,"[9, 4]","[2, 2, 10, 8]",p,221
72,"[9, 8]","[5, 7]",5,"[9, 8]","[5, 7, 10]",p,216
73,"[10, 10]","[10, 6]",10,"[10, 10]","[10, 6, 10]",p,211
74,"[10, 3]","[3, 8]",3,"[10, 3]","[3, 8, 2, 6]",d,205
75,"[10, 8]","[10, 8]",10,"[10, 8]","[10, 8]",pu,201
76,"[9, 3]","[10, 10]",10,"[9, 3, 1, 2, 4]","[10, 10]",d,194
77,"[4, 10]","[9, 10]",9,"[4, 10, 10]","[9, 10]",d,189
78,"[4, 2]","[2, 5]",2,"[4, 2, 5, 3]","[2, 5, 3, 10]",d,181
79,"[10, 7]","[7, 5]",7,"[10, 7]","[7, 5, 8]",d,176
80,"[10, 5]","[7, 7]",7,"[10, 5, 10]","[7, 7]",d,171
81,"[8, 10]","[10, 10]",10,"[8, 10]","[10, 10]",d,167
82,"[9, 8]","[4, 2]",4,"[9, 8]","[4, 2, 6, 3, 10]",p,160
83,"[10, 4]","[3, 9]",3,"[10, 4]","[3, 9, 10]",p,155
84,"[3, 10]","[10, 3]",10,"[3, 10, 2, 10]","[10, 3]",d,149
85,"[4, 10]","[11, 10]",11,"[4, 10]","[11, 10]",d,145
86,"[5, 10]","[4, 10]",4,"[5, 10]","[4, 10, 10]",p,140
87,"[4, 10]","[5, 8]",5,"[4, 10]","[5, 8, 4]",d,135
88,"[10, 10]","[10, 6]",10,"[10, 10]","[10, 6, 9]",p,130
89,"[6, 10]","[9, 2]",9,"[6, 10, 1]","[9, 2, 10]",d,124
90,"[3, 10]","[11, 4]",11,"[3, 10, 1, 9]","[11, 4]",d,118
91,"[6, 10]","[10, 10]",10,"[6, 10, 8]","[10, 10]",d,113
92,"[3, 4]","[3, 10]",3,"[3, 4, 10]","[3, 10, 6]",d,107
93,"[10, 8]","[9, 7]",9,"[10, 8]","[9, 7, 1]",p,102
94,"[9, 11]","[5, 5]",5,"[9, 11]","[5, 5, 8]",p,97
95,"[5, 5]","[2, 2]",2,"[5, 5, 11]","[2, 2, 9, 8]",pu,90
96,"[10, 10]","[7, 11]",7,"[10, 10]","[7, 11]",p,86
97,"[5, 6]","[5, 5]",5,"[5, 6, 9]","[5, 5, 11]",ddd,80
98,"[6, 3]","[9, 10]",9,"[6, 3, 11]","[9, 10]",p,75
99,"[7, 7]","[11, 2]",11,"[7, 7, 8]","[11, 2]",d,70
100,"[11, 10]","[7, 2]",7,"[11, 10]","[7, 2]",pbj,66
