hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[11, 3]","[9, 8]",9,"[1, 3, 10, 9]","[9, 8]",d,306
2,"[7, 2]","[10, 10]",10,"[7, 2, 5, 10]","[10, 10]",d,300
3,"[4, 10]","[2, 4]",2,"[4, 10]","[2, 4, 7, 1, 9]",p,293
4,"[3, 10]","[11, 11]",11,"[3, 10, 1, 4]","[1, 11, 5]",p,286
5,"[3, 3]","[10, 8]",10,"[3, 3, 4, 11]","[10, 8]",p,280
6,"[11, 10]","[9, 10]",9,"[11, 10]","[9, 10]",pbj,276
7,"[5, 6]","[11, 10]",11,"[5, 6]","[11, 10]",d,272
8,"[10, 3]","[9, 2]",9,"[10, 3, 9]","[9, 2]",d,267
9,"[10, 2]","[5, 8]",5,"[10, 2]","[5, 8, 6]",d,262
10,"[3, 5]","[10, 5]",10,"[3, 5, 10]","[10, 5, 10]",p,256
11,"[6, 10]","[7, 2]",7,"[6, 10, 8]","[7, 2]",d,251
12,"[10, 5]","[10, 3]",10,"[10, 5, 4]","[10, 3, 10]",p,245
13,"[3, 5]","[11, 11]",11,"[3, 5, 8, 3]","[1, 11, 2, 5]",pu,237
14,"[8, 10]","[7, 10]",7,"[8, 10]","[7, 10]",p,233
15,"[10, 9]","[10, 7]",10,"[10, 9]","[10, 7]",p,229
16,"[8, 10]","[5, 10]",5,"[8, 10]","[5, 10, 4]",d,224
17,"[7, 7]","[10, 3]",10,"[7, 7, 10]","[10, 3]",d,219
18,"[8, 8]","[9, 10]",9,"[[8, 2, 10], [8, 10]]","[9, 10]","['pdd', 'd']",212
19,"[10, 5]","[6, 10]",6,"[10, 5]","[6, 10, 5]",d,207
20,"[2, 5]","[2, 10]",2,"[2, 5, 10]","[2, 10, 3, 9]",p,200
21,"[6, 9]","[10, 3]",10,"[6, 9, 6]","[10, 3, 4]",p,194
22,"[3, 10]","[3, 5]",3,"[3, 10]","[3, 5, 8, 10]",p,188
23,"[7, 5]","[4, 3]",4,"[7, 5]","[4, 3, 6, 7]",d,182
24,"[10, 10]","[10, 8]",10,"[10, 10]","[10, 8]",p,178
25,"[10, 9]","[10, 4]",10,"[10, 9]","[10, 4, 10]",p,173
26,"[4, 10]","[9, 10]",9,"[4, 10, 7]","[9, 10]",p,168
27,"[10, 6]","[7, 6]",7,"[10, 6, 3]","[7, 6, 4]",p,162
28,"[10, 6]","[2, 3]",2,"[10, 6]","[2, 3, 7, 8]",d,156
29,"[2, 4]","[8, 11]",8,"[2, 4, 10, 5]","[8, 11]",p,150
30,"[7, 10]","[5, 10]",5,"[7, 10]","[5, 10, 8]",p,145
31,"[5, 10]","[10, 2]",10,"[5, 10, 8]","[10, 2]",d,140
32,"[3, 2]","[7, 9]",7,"[3, 2, 10, 2]","[7, 9, 1]",pu,133
33,"[2, 8]","[11, 11]",11,"[2, 8, 6, 8]","[11, 11]",d,127
34,"[7, 6]","[8, 10]",8,"[7, 6, 10]","[8, 10]",d,122
35,"[10, 8]","[10, 11]",10,"[10, 8]","[10, 11]",d,118
36,"[10, 11]","[3, 8]",3,"[10, 11]","[3, 8]",pbj,114
37,"[3, 10]","[6, 11]",6,"[3, 10]","[6, 11]",d,110
38,"[6, 10]","[7, 4]",7,"[6, 10, 7]","[7, 4]",d,105
39,"[2, 9]","[10, 3]",10,"[2, 9, 10]","[10, 3, 6]",pdd,99
40,"[4, 6]","[10, 10]",10,"[4, 6, 5, 6]","[10, 10]",p,93
