hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
41,"[9, 10]","[9, 3]",9,"[9, 10]","[9, 3, 5]",p,88
42,"[6, 4]","[10, 10]",10,"[6, 4, 9]","[10, 10]",d,83
43,"[7, 10]","[6, 4]",6,"[7, 10]","[6, 4, 10]",d,78
44,"[10, 10]","[9, 10]",9,"[10, 10]","[9, 10]",p,74
45,"[10, 4]","[2, 10]",2,"[10, 4]","[2, 10, 10]",p,69
46,"[10, 11]","[11, 2]",11,"[10, 11]","[11, 2]",pbj,65
47,"[11, 10]","[10, 2]",10,"[11, 10]","[10, 2]",pbj,61
48,"[6, 2]","[4, 4]",4,"[6, 2, 9]","[4, 4, 5, 3, 10]",p,53
49,"[10, 10]","[10, 7]",10,"[10, 10]","[10, 7]",p,49
50,"[7, 6]","[10, 6]",10,"[7, 6, 5]","[10, 6, 10]",p,43
51,"[4, 2]","[10, 8]",10,"[4, 2, 7, 8]","[10, 8]",p,37
52,"[7, 4]","[10, 5]",10,"[7, 4, 10]","[10, 5, 10]",pdd,31
53,"[11, 10]","[2, 6]",2,"[11, 10]","[2, 6]",pbj,27
54,"[10, 9]","[7, 8]",7,"[10, 9]","[7, 8, 2]",p,22
55,"[11, 3]","[10, 6]",10,"[1, 3, 2, 7, 10]","[10, 6]",d,305
56,"[10, 9]","[11, 10]",11,"[10, 9]","[11, 10]",d,301
57,"[11, 2]","[5, 10]",5,"[11, 2, 10]","[5, 10]",d,296
58,"[10, 6]","[6, 5]",6,"[10, 6]","[6, 5, 4, 6]",d,290
59,"[5, 9]","[5, 10]",5,"[5, 9]","[5, 10, 4]",d,285
60,"[8, 10]","[10, 4]",10,"[8, 10]","[10, 4, 7]",d,280
61,"[10, 8]","[8, 6]",8,"[10, 8]","[8, 6, 5]",d,275
62,"[3, 4]","[5, 10]",5,"[3, 4, 9]","[5, 10, 6]",d,269
63,"[10, 9]","[7, 3]",7,"[10, 9]","[7, 3, 10]",d,264
64,"[8, 10]","[3, 2]",3,"[8, 10]","[3, 2, 10, 2]",p,258
65,"[10, 7]","[10, 5]",10,"[10, 7]","[10, 5, 9]",p,253
66,"[6, 10]","[2, 8]",2,"[6, 10]","[2, 8, 2, 4, 8]",p,246
67,"[8, 7]","[3, 10]",3,"[8, 7]","[3, 10, 10]",p,241
68,"[10, 9]","[2, 11]",2,"[10, 9]","[2, 11, 6]",pu,236
69,"[8, 6]","[6, 10]",6,"[8, 6]","[6, 10, 2]",d,231
70,"[8, 9]","[4, 10]",4,"[8, 9]","[4, 10, 6]",d,226
71,"[11, 2]","[4, 7]",4,"[1, 2, 4, 10]","[4, 7, 3, 10]",p,218
72,"[5, 5]","[8, 9]",8,"[5, 5, 9]","[8, 9]",pdd,213
73,"[9, 2]","[3, 5]",3,"[9, 2, 5]","[3, 5, 5, 9]",pdd,206
74,"[7, 10]","[6, 3]",6,"[7, 10]","[6, 3, 10]",d,201
75,"[4, 7]","[10, 6]",10,"[4, 7, 10]","[10, 6, 2]",pdd,195
76,"[10, 10]","[3, 9]",3,"[10, 10]","[3, 9, 4, 10]",p,189
77,"[2, 10]","[10, 10]",10,"[2, 10, 1, 10]","[10, 10]",d,183
78,"[10, 3]","[10, 10]",10,"[10, 3, 4]","[10, 10]",d,178
79,"[11, 8]","[4, 6]",4,"[11, 8]","[4, 6, 10]",d,173
80,"[5, 11]","[2, 10]",2,"[5, 1, 8]","[2, 10, 2, 4]",d,166
81,"[2, 10]","[2, 7]",2,"[2, 10, 8]","[2, 7, 7, 2]",p,159
82,"[10, 8]","[8, 11]",8,"[10, 8]","[8, 11]",d,155
83,"[10, 3]","[2, 8]",2,"[10, 3]","[2, 8, 6, 8]",p,149
84,"[8, 3]","[7, 5]",7,"[8, 3, 4]","[7, 5, 8]",ddd,143
85,"[10, 11]","[6, 6]",6,"[10, 11]","[6, 6]",pbj,139
86,"[3, 7]","[9, 7]",9,"[3, 7, 10]","[9, 7, 4]",pu,133
87,"[3, 10]","[4, 5]",4,"[3, 10]","[4, 5, 11]",d,128
88,"[7, 2]","[5, 10]",5,"[7, 2, 11]","[5, 10, 4]",pdd,122
89,"[7, 10]","[5, 9]",5,"[7, 10]","[5, 9, 8]",p,117
90,"[9, 10]","[10, 3]",10,"[9, 10]","[10, 3, 2, 10]",p,111
91,"[10, 6]","[10, 9]",10,"[10, 6, 10]","[10, 9]",d,106
92,"[10, 5]","[2, 5]",2,"[10, 5]","[2, 5, 9, 10]",p,100
93,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,96
94,"[10, 7]","[4, 5]",4,"[10, 7]","[4, 5, 10]",d,91
95,"[10, 10]","[5, 9]",5,"[10, 10]","[5, 9, 3]",p,86
96,"[10, 8]","[10, 10]",10,"[10, 8]","[10, 10]",d,82
97,"[4, 6]","[10, 4]",10,"[4, 6, 9]","[10, 4, 10]",p,76
98,"[3, 3]","[9, 10]",9,"[3, 3, 5, 10]","[9, 10]",p,70
99,"[11, 10]","[10, 10]",10,"[11, 10]","[10, 10]",pbj,66
100,"[7, 7]","[3, 10]",3,"[[7, 4, 10], [7, 10]]","[3, 10, 7]","['pdd', 'd']",58
