hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[11, 6]","[4, 3]",4,"[11, 6, 7]","[4, 3]",d,307
2,"[3, 8]","[8, 2]",8,"[3, 8, 9]","[8, 2, 8]",pdd,301
3,"[10, 9]","[5, 4]",5,"[10, 9]","[5, 4, 11]",d,296
4,"[6, 11]","[4, 10]",4,"[6, 11, 10]","[4, 10]",d,291
5,"[10, 7]","[9, 10]",9,"[10, 7]","[9, 10]",d,287
6,"[5, 10]","[10, 3]",10,"[5, 10, 6]","[10, 3, 3, 10]",p,280
7,"[3, 5]","[3, 2]",3,"[3, 5, 7]","[3, 2, 10, 5]",d,273
8,"[9, 10]","[3, 2]",3,"[9, 10]","[3, 2, 6, 10]",d,267
9,"[7, 11]","[4, 6]",4,"[7, 11, 7]","[4, 6]",d,262
10,"[5, 8]","[7, 10]",7,"[5, 8, 7]","[7, 10]",p,257
11,"[10, 10]","[10, 10]",10,"[10, 10]","[10, 10]",pu,253
12,"[10, 11]","[10, 10]",10,"[10, 11]","[10, 10]",pbj,249
13,"[4, 10]","[5, 10]",5,"[4, 10]","[5, 10, 2]",d,244
14,"[10, 9]","[3, 5]",3,"[10, 9]","[3, 5, 11]",pu,239
15,"[10, 11]","[10, 9]",10,"[10, 11]","[10, 9]",pbj,235
16,"[10, 5]","[4, 10]",4,"[10, 5]","[4, 10, 1, 7]",p,229
17,"[3, 7]","[8, 10]",8,"[3, 7, 10]","[8, 10]",pdd,224
18,"[11, 2]","[10, 8]",10,"[1, 2, 10, 7]","[10, 8]",p,218
19,"[10, 11]","[5, 11]",5,"[10, 11]","[5, 11]",pbj,214
20,"[10, 3]","[2, 3]",2,"[10, 3]","[2, 3, 9, 8]",p,208
21,"[10, 6]","[2, 10]",2,"[10, 6]","[2, 10, 5]",d,203
22,"[7, 11]","[10, 9]",10,"[7, 1, 5, 1, 2, 1]","[10, 9]",d,195
23,"[5, 3]","[10, 7]",10,"[5, 3, 6, 2, 10]","[10, 7]",d,188
24,"[7, 10]","[7, 4]",7,"[7, 10]","[7, 4, 3, 10]",p,182
25,"[10, 6]","[10, 10]",10,"[10, 6, 1]","[10, 10]",d,177
26,"[5, 10]","[10, 10]",10,"[5, 10, 4]","[10, 10]",d,172
27,"[6, 4]","[2, 10]",2,"[6, 4, 9]","[2, 10, 8]",ddd,166
28,"[2, 3]","[10, 10]",10,"[2, 3, 8, 10]","[10, 10]",d,160
29,"[7, 10]","[10, 2]",10,"[7, 10]","[10, 2, 5]",pu,155
30,"[7, 10]","[8, 2]",8,"[7, 10]","[8, 2, 2, 3, 7]",p,148
31,"[4, 10]","[5, 8]",5,"[4, 10]","[5, 8, 10]",p,143
32,"[2, 8]","[8, 10]",8,"[2, 8, 2]","[8, 10]",ddd,138
33,"[9, 8]","[10, 4]",10,"[9, 8]","[10, 4, 6]",d,133
34,"[11, 7]","[10, 6]",10,"[1, 7, 4, 10]","[10, 6]",d,127
35,"[4, 9]","[10, 10]",10,"[4, 9, 3, 4]","[10, 10]",pu,121
36,"[10, 3]","[4, 2]",4,"[10, 3]","[4, 2, 6, 3, 6]",d,114
37,"[9, 5]","[8, 4]",8,"[9, 5, 6]","[8, 4, 6]",p,108
38,"[5, 9]","[8, 9]",8,"[5, 9, 4]","[8, 9]",p,103
39,"[10, 5]","[10, 10]",10,"[10, 5, 6]","[10, 10]",p,98
40,"[9, 2]","[4, 5]",4,"[9, 2, 2]","[4, 5, 5, 10]",pdd,91
41,"[3, 2]","[10, 10]",10,"[3, 2, 10, 8]","[10, 10]",d,85
42,"[8, 6]","[10, 9]",10,"[8, 6, 10]","[10, 9]",d,80
43,"[4, 3]","[8, 11]",8,"[4, 3, 10]","[8, 11]",d,75
44,"[10, 9]","[10, 10]",10,"[10, 9]","[10, 10]",d,71
45,"[11, 6]","[2, 10]",2,"[1, 6, 10]","[2, 10, 2, 1, 7]",p,63
46,"[8, 8]","[9, 10]",9,"[[8, 4, 7], [8, 9]]","[9, 10]","['pu', 'd']",56
