hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
47,"[3, 11]","[5, 11]",5,"[3, 11, 10]","[5, 11]",d,51
48,"[4, 10]","[9, 4]",9,"[4, 10, 10]","[9, 4]",d,46
49,"[10, 5]","[3, 7]",3,"[10, 5]","[3, 7, 5, 10]",p,40
50,"[2, 6]","[6, 11]",6,"[2, 6, 8]","[6, 11]",d,35
51,"[9, 8]","[10, 9]",10,"[9, 8]","[10, 9]",d,31
52,"[6, 8]","[4, 10]",4,"[6, 8]","[4, 10, 9]",p,26
53,"[10, 7]","[10, 4]",10,"[10, 7]","[10, 4, 9]",p,21
54,"[4, 7]","[5, 10]",5,"[4, 7, 10]","[5, 10, 7]",pdd,306
55,"[6, 5]","[3, 4]",3,"[6, 5, 10]","[3, 4, 6, 8]",pu,299
56,"[11, 7]","[7, 2]",7,"[11, 7]","[7, 2, 10]",d,294
57,"[10, 2]","[8, 10]",8,"[10, 2, 4, 1]","[8, 10]",d,288
58,"[9, 8]","[7, 10]",7,"[9, 8]","[7, 10]",pu,284
59,"[7, 2]","[10, 10]",10,"[7, 2, 7, 9]","[10, 10]",d,278
60,"[5, 5]","[10, 10]",10,"[5, 5, 2, 2, 10]","[10, 10]",d,271
61,"[10, 3]","[10, 10]",10,"[10, 3, 7]","[10, 10]",pu,266
62,"[10, 6]","[10, 10]",10,"[10, 6, 1]","[10, 10]",d,261
63,"[10, 10]","[2, 4]",2,"[10, 10]","[2, 4, 3, 10]",p,255
64,"[5, 11]","[7, 10]",7,"[5, 1, 10, 2]","[7, 10]",p,249
65,"[6, 11]","[9, 4]",9,"[6, 1, 7, 1, 8]","[9, 4]",d,242
66,"[4, 9]","[4, 8]",4,"[4, 9]","[4, 8, 4, 10]",p,236
67,"[9, 10]","[10, 10]",10,"[9, 10]","[10, 10]",d,232
68,"[8, 10]","[5, 8]",5,"[8, 10]","[5, 8, 1, 1, 6]",d,225
69,"[10, 10]","[5, 2]",5,"[10, 10]","[5, 2, 2, 9]",p,219
70,"[3, 10]","[8, 10]",8,"[3, 10, 10]","[8, 10]",d,214
71,"[10, 11]","[6, 8]",6,"[10, 11]","[6, 8]",pbj,210
72,"[10, 8]","[7, 4]",7,"[10, 8]","[7, 4, 10]",d,205
73,"[2, 9]","[9, 11]",9,"[2, 9, 10]","[9, 11]",pdd,200
74,"[3, 3]","[10, 10]",10,"[3, 3, 2, 3, 6]","[10, 10]",d,193
75,"[6, 6]","[10, 10]",10,"[6, 6, 8]","[10, 10]",pu,188
76,"[10, 10]","[11, 10]",11,"[10, 10]","[11, 10]",d,184
77,"[10, 3]","[2, 10]",2,"[10, 3]","[2, 10, 10]",p,179
78,"[8, 10]","[10, 5]",10,"[8, 10]","[10, 5, 10]",p,174
79,"[9, 3]","[10, 6]",10,"[9, 3, 5]","[10, 6, 1]",pu,168
80,"[8, 6]","[8, 10]",8,"[8, 6, 2, 1]","[8, 10]",d,162
81,"[5, 10]","[9, 3]",9,"[5, 10, 10]","[9, 3]",d,157
82,"[2, 7]","[2, 5]",2,"[2, 7, 5]","[2, 5, 10]",d,151
83,"[9, 10]","[10, 10]",10,"[9, 10]","[10, 10]",d,147
84,"[3, 5]","[10, 11]",10,"[3, 5]","[10, 11]",d,143
85,"[5, 6]","[9, 5]",9,"[5, 6, 9]","[9, 5, 3]",pdd,137
86,"[2, 3]","[4, 10]",4,"[2, 3, 10]","[4, 10, 9]",p,131
87,"[6, 10]","[10, 2]",10,"[6, 10, 8]","[10, 2]",d,126
88,"[7, 6]","[10, 2]",10,"[7, 6, 10]","[10, 2]",d,121
89,"[7, 8]","[4, 8]",4,"[7, 8]","[4, 8, 10]",p,116
90,"[4, 7]","[6, 2]",6,"[4, 7, 4]","[6, 2, 10]",ddd,110
91,"[2, 10]","[2, 5]",2,"[2, 10, 9]","[2, 5, 11]",p,104
92,"[10, 10]","[11, 2]",11,"[10, 10]","[1, 2, 11, 4]",p,98
93,"[11, 5]","[5, 11]",5,"[11, 5, 10]","[5, 11]",d,93
94,"[6, 8]","[10, 7]",10,"[6, 8, 3]","[10, 7]",pu,88
95,"[10, 8]","[4, 4]",4,"[10, 8]","[4, 4, 7, 3]",pu,82
96,"[6, 5]","[9, 7]",9,"[6, 5, 11]","[9, 7]",d,77
97,"[8, 2]","[9, 3]",9,"[8, 2, 10]","[9, 3, 5]",pdd,71
98,"[6, 5]","[10, 10]",10,"[6, 5, 3]","[10, 10]",ddd,66
99,"[10, 10]","[6, 10]",6,"[10, 10]","[6, 10, 6]",p,61
100,"[9, 7]","[6, 6]",6,"[9, 7]","[6, 6, 7]",d,56
