hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,17,soft,no split,1,4,24,7,-1.0,307,5,"[11, 6, 7]","[4, 3]",2,0.4
2,11,hard,no split,1,8,20,18,2.0,301,5,"[3, 8, 9]","[8, 2, 8]",4,0.8
3,19,hard,no split,1,5,19,20,-1.0,296,5,"[10, 9]","[5, 4, 11]",4,0.8
4,17,soft,no split,1,4,27,14,-1.0,291,5,"[6, 11, 10]","[4, 10]",3,0.6
5,17,hard,no split,1,9,17,19,-1.0,287,5,"[10, 7]","[9, 10]",1,0.2
6,15,hard,no split,1,10,21,26,1.0,280,5,"[5, 10, 6]","[10, 3, 3, 10]",2,0.4
7,8,hard,no split,1,3,15,20,-1.0,273,5,"[3, 5, 7]","[3, 2, 10, 5]",6,1.2
8,19,hard,no split,1,3,19,21,-1.0,267,5,"[9, 10]","[3, 2, 6, 10]",7,1.4
9,18,soft,no split,1,4,25,10,-1.0,262,5,"[7, 11, 7]","[4, 6]",8,1.6
10,13,hard,no split,1,7,20,17,1.0,257,4,"[5, 8, 7]","[7, 10]",8,2.0
11,20,hard,no split,1,10,20,20,0.0,253,4,"[10, 10]","[10, 10]",4,1.0
12,21,soft,no split,1,10,21,20,1.5,249,4,"[10, 11]","[10, 10]",0,0.0
13,14,hard,no split,1,5,14,17,-1.0,244,4,"[4, 10]","[5, 10, 2]",1,0.25
14,19,hard,no split,1,3,19,19,0.0,239,4,"[10, 9]","[3, 5, 11]",1,0.25
15,21,soft,no split,1,10,21,19,1.5,235,4,"[10, 11]","[10, 9]",-2,-0.5
16,15,hard,no split,1,4,15,22,1.0,229,4,"[10, 5]","[4, 10, 1, 7]",-3,-0.75
17,10,hard,no split,1,8,20,18,2.0,224,4,"[3, 7, 10]","[8, 10]",-4,-1.0
18,13,soft,no split,1,10,20,18,1.0,218,4,"[1, 2, 10, 7]","[10, 8]",-6,-1.5
19,21,soft,no split,1,5,21,16,1.5,214,4,"[10, 11]","[5, 11]",-8,-2.0
20,13,hard,no split,1,2,13,22,1.0,208,4,"[10, 3]","[2, 3, 9, 8]",-6,-1.5
21,16,hard,no split,1,2,16,17,-1.0,203,3,"[10, 6]","[2, 10, 5]",-5,-1.6666666666666667
22,18,soft,no split,1,10,17,19,-1.0,195,3,"[7, 1, 5, 1, 2, 1]","[10, 9]",-7,-2.3333333333333335
23,8,hard,no split,1,10,26,17,-1.0,188,3,"[5, 3, 6, 2, 10]","[10, 7]",-5,-1.6666666666666667
24,17,hard,no split,1,7,17,24,1.0,182,3,"[7, 10]","[7, 4, 3, 10]",-5,-1.6666666666666667
25,16,hard,no split,1,10,17,20,-1.0,177,3,"[10, 6, 1]","[10, 10]",-8,-2.6666666666666665
26,15,hard,no split,1,10,19,20,-1.0,172,3,"[5, 10, 4]","[10, 10]",-9,-3.0
27,10,hard,no split,1,2,19,20,-2.0,166,3,"[6, 4, 9]","[2, 10, 8]",-7,-2.3333333333333335
28,5,hard,no split,1,10,23,20,-1.0,160,3,"[2, 3, 8, 10]","[10, 10]",-8,-2.6666666666666665
29,17,hard,no split,1,10,17,17,0.0,155,2,"[7, 10]","[10, 2, 5]",-8,-4.0
30,17,hard,no split,1,8,17,22,1.0,148,2,"[7, 10]","[8, 2, 2, 3, 7]",-6,-3.0
31,14,hard,no split,1,5,14,23,1.0,143,2,"[4, 10]","[5, 8, 10]",-6,-3.0
32,10,hard,no split,1,8,12,18,-2.0,138,2,"[2, 8, 2]","[8, 10]",-5,-2.5
33,17,hard,no split,1,10,17,20,-1.0,133,2,"[9, 8]","[10, 4, 6]",-4,-2.0
34,18,soft,no split,1,10,22,16,-1.0,127,2,"[1, 7, 4, 10]","[10, 6]",-5,-2.5
35,13,hard,no split,1,10,20,20,0.0,121,2,"[4, 9, 3, 4]","[10, 10]",-4,-2.0
36,13,hard,no split,1,4,13,21,-1.0,114,2,"[10, 3]","[4, 2, 6, 3, 6]",1,0.5
37,14,hard,no split,1,8,20,18,1.0,108,2,"[9, 5, 6]","[8, 4, 6]",5,2.5
38,14,hard,no split,1,8,18,17,1.0,103,1,"[5, 9, 4]","[8, 9]",7,7.0
39,15,hard,no split,1,10,21,20,1.0,98,1,"[10, 5, 6]","[10, 10]",6,6.0
40,11,hard,no split,1,4,13,24,2.0,91,1,"[9, 2, 2]","[4, 5, 5, 10]",10,10.0
41,5,hard,no split,1,10,23,20,-1.0,85,1,"[3, 2, 10, 8]","[10, 10]",9,9.0
42,14,hard,no split,1,10,24,19,-1.0,80,1,"[8, 6, 10]","[10, 9]",8,8.0
43,7,hard,no split,1,8,17,19,-1.0,75,1,"[4, 3, 10]","[8, 11]",8,8.0
44,19,hard,no split,1,10,19,20,-1.0,71,1,"[10, 9]","[10, 10]",5,5.0
45,17,soft,no split,1,2,17,22,1.0,63,1,"[1, 6, 10]","[2, 10, 2, 1, 7]",4,4.0
46,16,hard,split,2,9,18,19,-1.0,56,1,"[[8, 4, 7], [8, 9]]","[9, 10]",4,4.0
47,14,soft,no split,1,5,24,16,-1.0,51,0,"[3, 11, 10]","[5, 11]",3,3.0
48,14,hard,no split,1,9,24,13,-1.0,46,0,"[4, 10, 10]","[9, 4]",3,3.0
49,15,hard,no split,1,3,15,25,1.0,40,0,"[10, 5]","[3, 7, 5, 10]",4,4.0
50,8,hard,no split,1,6,16,17,-1.0,35,0,"[2, 6, 8]","[6, 11]",6,6.0
51,17,hard,no split,1,10,17,19,-1.0,31,0,"[9, 8]","[10, 9]",5,5.0
52,14,hard,no split,1,4,14,23,1.0,26,0,"[6, 8]","[4, 10, 9]",6,6.0
53,17,hard,no split,1,10,17,23,1.0,21,0,"[10, 7]","[10, 4, 9]",5,5.0
54,11,hard,no split,1,5,21,22,2.0,306,5,"[4, 7, 10]","[5, 10, 7]",0,0.0
55,11,hard,no split,1,3,21,21,0.0,299,5,"[6, 5, 10]","[3, 4, 6, 8]",4,0.8
56,18,soft,no split,1,7,18,19,-1.0,294,5,"[11, 7]","[7, 2, 10]",3,0.6
57,12,hard,no split,1,8,17,18,-1.0,288,5,"[10, 2, 4, 1]","[8, 10]",2,0.4
58,17,hard,no split,1,7,17,17,0.0,284,5,"[9, 8]","[7, 10]",1,0.2
59,9,hard,no split,1,10,25,20,-1.0,278,5,"[7, 2, 7, 9]","[10, 10]",0,0.0
60,10,hard,no split,1,10,24,20,-1.0,271,5,"[5, 5, 2, 2, 10]","[10, 10]",1,0.2
61,13,hard,no split,1,10,20,20,0.0,266,5,"[10, 3, 7]","[10, 10]",-1,-0.2
62,16,hard,no split,1,10,17,20,-1.0,261,5,"[10, 6, 1]","[10, 10]",-4,-0.8
63,20,hard,no split,1,2,20,19,1.0,255,4,"[10, 10]","[2, 4, 3, 10]",-4,-1.0
64,16,soft,no split,1,7,18,17,1.0,249,4,"[5, 1, 10, 2]","[7, 10]",-5,-1.25
65,17,soft,no split,1,9,23,13,-1.0,242,4,"[6, 1, 7, 1, 8]","[9, 4]",-5,-1.25
66,13,hard,no split,1,4,13,26,1.0,236,4,"[4, 9]","[4, 8, 4, 10]",-3,-0.75
67,19,hard,no split,1,10,19,20,-1.0,232,4,"[9, 10]","[10, 10]",-6,-1.5
68,18,hard,no split,1,5,18,21,-1.0,225,4,"[8, 10]","[5, 8, 1, 1, 6]",-7,-1.75
69,20,hard,no split,1,5,20,18,1.0,219,4,"[10, 10]","[5, 2, 2, 9]",-6,-1.5
70,13,hard,no split,1,8,23,18,-1.0,214,4,"[3, 10, 10]","[8, 10]",-8,-2.0
71,21,soft,no split,1,6,21,14,1.5,210,4,"[10, 11]","[6, 8]",-9,-2.25
72,18,hard,no split,1,7,18,21,-1.0,205,3,"[10, 8]","[7, 4, 10]",-10,-3.3333333333333335
73,11,hard,no split,1,9,21,20,2.0,200,3,"[2, 9, 10]","[9, 11]",-11,-3.6666666666666665
74,6,hard,no split,1,10,17,20,-1.0,193,3,"[3, 3, 2, 3, 6]","[10, 10]",-8,-2.6666666666666665
75,12,hard,no split,1,10,20,20,0.0,188,3,"[6, 6, 8]","[10, 10]",-8,-2.6666666666666665
76,20,hard,no split,1,11,20,21,-1.0,184,3,"[10, 10]","[11, 10]",-12,-4.0
77,13,hard,no split,1,2,13,22,1.0,179,3,"[10, 3]","[2, 10, 10]",-13,-4.333333333333333
78,18,hard,no split,1,10,18,25,1.0,174,3,"[8, 10]","[10, 5, 10]",-15,-5.0
79,12,hard,no split,1,10,17,17,0.0,168,3,"[9, 3, 5]","[10, 6, 1]",-14,-4.666666666666667
80,14,hard,no split,1,8,17,18,-1.0,162,3,"[8, 6, 2, 1]","[8, 10]",-14,-4.666666666666667
81,15,hard,no split,1,9,25,12,-1.0,157,3,"[5, 10, 10]","[9, 3]",-14,-4.666666666666667
82,9,hard,no split,1,2,14,17,-1.0,151,2,"[2, 7, 5]","[2, 5, 10]",-11,-5.5
83,19,hard,no split,1,10,19,20,-1.0,147,2,"[9, 10]","[10, 10]",-14,-7.0
84,8,hard,no split,1,10,8,21,-1.0,143,2,"[3, 5]","[10, 11]",-14,-7.0
85,11,hard,no split,1,9,20,17,2.0,137,2,"[5, 6, 9]","[9, 5, 3]",-10,-5.0
86,5,hard,no split,1,4,15,23,1.0,131,2,"[2, 3, 10]","[4, 10, 9]",-9,-4.5
87,16,hard,no split,1,10,24,12,-1.0,126,2,"[6, 10, 8]","[10, 2]",-9,-4.5
88,13,hard,no split,1,10,23,12,-1.0,121,2,"[7, 6, 10]","[10, 2]",-9,-4.5
89,15,hard,no split,1,4,15,22,1.0,116,2,"[7, 8]","[4, 8, 10]",-9,-4.5
90,11,hard,no split,1,6,15,18,-2.0,110,2,"[4, 7, 4]","[6, 2, 10]",-6,-3.0
91,12,hard,no split,1,2,21,18,1.0,104,2,"[2, 10, 9]","[2, 5, 11]",-5,-2.5
92,20,hard,no split,1,11,20,18,1.0,98,1,"[10, 10]","[1, 2, 11, 4]",-7,-7.0
93,16,soft,no split,1,5,26,16,-1.0,93,1,"[11, 5, 10]","[5, 11]",-8,-8.0
94,14,hard,no split,1,10,17,17,0.0,88,1,"[6, 8, 3]","[10, 7]",-7,-7.0
95,18,hard,no split,1,4,18,18,0.0,82,1,"[10, 8]","[4, 4, 7, 3]",-5,-5.0
96,11,hard,no split,1,9,22,16,-1.0,77,1,"[6, 5, 11]","[9, 7]",-4,-4.0
97,10,hard,no split,1,9,20,17,2.0,71,1,"[8, 2, 10]","[9, 3, 5]",-2,-2.0
98,11,hard,no split,1,10,14,20,-2.0,66,1,"[6, 5, 3]","[10, 10]",-1,-1.0
99,20,hard,no split,1,6,20,22,1.0,61,1,"[10, 10]","[6, 10, 6]",-2,-2.0
100,16,hard,no split,1,6,16,19,-1.0,56,1,"[9, 7]","[6, 6, 7]",0,0.0
